drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,KDM5A(44); JUN(30); RB1(23); CDKN1B(18); HDAC6(14),very_high
sirolimus,1.11,99.94696769651891,KDM5A(44); JUN(30); RB1(23); CDKN1B(18); HDAC6(14),very_high
docetaxel,1.11,66.69402056190279,KDM5A(44); JUN(30); RB1(23); CDKN1B(18); HDAC6(14),high
paclitaxel,10.0,65.99825444030616,KDM5A(44); JUN(30); RB1(23); CDKN1B(18); HDAC6(14),high
vinorelbine,10.0,49.83546082107875,KDM5A(44); JUN(30); RB1(23); CDKN1B(18); HDAC6(14),moderate
vinblastine,10.0,48.44209951217447,KDM5A(44); JUN(30); RB1(23); CDKN1B(18); HDAC6(14),moderate
NVP-AUY922,1.11,35.69874353635016,KDM5A(44); JUN(30); RB1(23); CDKN1B(18); HDAC6(14),moderate
NVP-BEZ235,10.0,34.84030923765634,KDM5A(44); JUN(30); RB1(23); CDKN1B(18); HDAC6(14),moderate
methotrexate,10.0,34.13685471619254,KDM5A(44); JUN(30); RB1(23); CDKN1B(18); HDAC6(14),moderate
lestaurtinib,10.0,33.46182553704434,KDM5A(44); JUN(30); RB1(23); CDKN1B(18); HDAC6(14),moderate
epirubicin,10.0,33.054483503014936,KDM5A(44); JUN(30); RB1(23); CDKN1B(18); HDAC6(14),moderate
gemcitabine,10.0,32.29973041660894,KDM5A(44); JUN(30); RB1(23); CDKN1B(18); HDAC6(14),moderate
camptothecin,1.11,32.03175009060294,KDM5A(44); JUN(30); RB1(23); CDKN1B(18); HDAC6(14),moderate
staurosporine,10.0,30.41171432767776,KDM5A(44); JUN(30); RB1(23); CDKN1B(18); HDAC6(14),moderate
GDC-0941,10.0,30.188270703636846,KDM5A(44); JUN(30); RB1(23); CDKN1B(18); HDAC6(14),moderate
tanespimycin,10.0,27.481013951828526,KDM5A(44); JUN(30); RB1(23); CDKN1B(18); HDAC6(14),low
SN-38,1.11,27.05837279415904,KDM5A(44); JUN(30); RB1(23); CDKN1B(18); HDAC6(14),low
nutlin-3,10.0,26.410952625798256,KDM5A(44); JUN(30); RB1(23); CDKN1B(18); HDAC6(14),low
navitoclax,10.0,23.786904671912893,KDM5A(44); JUN(30); RB1(23); CDKN1B(18); HDAC6(14),low
topotecan,1.11,23.758267831982977,KDM5A(44); JUN(30); RB1(23); CDKN1B(18); HDAC6(14),low
