drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,99.33155408765901,KDM5A(26); CHEK1(23); AKT1(22); CASP3(19); CCL2(18),very_high
sirolimus,1.11,98.06675323784198,KDM5A(26); CHEK1(23); AKT1(22); CASP3(19); CCL2(18),very_high
docetaxel,1.11,65.22245593147059,KDM5A(26); CHEK1(23); AKT1(22); CASP3(19); CCL2(18),high
paclitaxel,10.0,64.52668980987391,KDM5A(26); CHEK1(23); AKT1(22); CASP3(19); CCL2(18),high
vinorelbine,10.0,48.31299407899752,KDM5A(26); CHEK1(23); AKT1(22); CASP3(19); CCL2(18),moderate
vinblastine,10.0,46.91963277009324,KDM5A(26); CHEK1(23); AKT1(22); CASP3(19); CCL2(18),moderate
NVP-AUY922,1.11,33.73947320177777,KDM5A(26); CHEK1(23); AKT1(22); CASP3(19); CCL2(18),moderate
methotrexate,10.0,33.04109155112353,KDM5A(26); CHEK1(23); AKT1(22); CASP3(19); CCL2(18),moderate
NVP-BEZ235,10.0,32.89392903330022,KDM5A(26); CHEK1(23); AKT1(22); CASP3(19); CCL2(18),moderate
lestaurtinib,10.0,31.615385087401233,KDM5A(26); CHEK1(23); AKT1(22); CASP3(19); CCL2(18),moderate
epirubicin,10.0,31.077932001012453,KDM5A(26); CHEK1(23); AKT1(22); CASP3(19); CCL2(18),moderate
camptothecin,1.11,30.41173259902076,KDM5A(26); CHEK1(23); AKT1(22); CASP3(19); CCL2(18),moderate
gemcitabine,10.0,30.22323915989349,KDM5A(26); CHEK1(23); AKT1(22); CASP3(19); CCL2(18),moderate
staurosporine,10.0,29.07786188252016,KDM5A(26); CHEK1(23); AKT1(22); CASP3(19); CCL2(18),low
GDC-0941,10.0,28.211719201634406,KDM5A(26); CHEK1(23); AKT1(22); CASP3(19); CCL2(18),low
tanespimycin,10.0,25.441539462413356,KDM5A(26); CHEK1(23); AKT1(22); CASP3(19); CCL2(18),low
SN-38,1.11,25.10752062396285,KDM5A(26); CHEK1(23); AKT1(22); CASP3(19); CCL2(18),low
nutlin-3,10.0,24.385363480731773,KDM5A(26); CHEK1(23); AKT1(22); CASP3(19); CCL2(18),low
topotecan,1.11,22.138250340400873,KDM5A(26); CHEK1(23); AKT1(22); CASP3(19); CCL2(18),low
navitoclax,10.0,21.946075394678488,KDM5A(26); CHEK1(23); AKT1(22); CASP3(19); CCL2(18),low
