drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,72.31877564674694,HES1(20); CHEK1(19); PMAIP1(19); PPARG(17); BRCA1(15),very_high
docetaxel,10.0,62.89204729810315,HES1(20); CHEK1(19); PMAIP1(19); PPARG(17); BRCA1(15),high
vinorelbine,10.0,55.188159833739455,HES1(20); CHEK1(19); PMAIP1(19); PPARG(17); BRCA1(15),high
vinblastine,10.0,50.69599683294652,HES1(20); CHEK1(19); PMAIP1(19); PPARG(17); BRCA1(15),high
temsirolimus,10.0,47.089411982535175,HES1(20); CHEK1(19); PMAIP1(19); PPARG(17); BRCA1(15),moderate
methotrexate,10.0,45.09242974555431,HES1(20); CHEK1(19); PMAIP1(19); PPARG(17); BRCA1(15),moderate
MG-132,10.0,34.53309389305169,HES1(20); CHEK1(19); PMAIP1(19); PPARG(17); BRCA1(15),moderate
lestaurtinib,10.0,33.357937841542444,HES1(20); CHEK1(19); PMAIP1(19); PPARG(17); BRCA1(15),moderate
navitoclax,10.0,31.460571375604328,HES1(20); CHEK1(19); PMAIP1(19); PPARG(17); BRCA1(15),moderate
lapatinib,10.0,29.26743690760625,HES1(20); CHEK1(19); PMAIP1(19); PPARG(17); BRCA1(15),low
bortezomib,10.0,28.571241339273772,HES1(20); CHEK1(19); PMAIP1(19); PPARG(17); BRCA1(15),low
ABT-737,10.0,27.529840341588603,HES1(20); CHEK1(19); PMAIP1(19); PPARG(17); BRCA1(15),low
foretinib,10.0,26.505109452458047,HES1(20); CHEK1(19); PMAIP1(19); PPARG(17); BRCA1(15),low
staurosporine,10.0,26.418980945031183,HES1(20); CHEK1(19); PMAIP1(19); PPARG(17); BRCA1(15),low
AZD-6482,10.0,26.231346052243754,HES1(20); CHEK1(19); PMAIP1(19); PPARG(17); BRCA1(15),low
MK-1775,10.0,24.763693069197174,HES1(20); CHEK1(19); PMAIP1(19); PPARG(17); BRCA1(15),low
gemcitabine,10.0,22.72782363229995,HES1(20); CHEK1(19); PMAIP1(19); PPARG(17); BRCA1(15),low
epirubicin,10.0,22.58779773605733,HES1(20); CHEK1(19); PMAIP1(19); PPARG(17); BRCA1(15),low
sorafenib,10.0,22.26984974233737,HES1(20); CHEK1(19); PMAIP1(19); PPARG(17); BRCA1(15),low
nilotinib,10.0,20.124649762890428,HES1(20); CHEK1(19); PMAIP1(19); PPARG(17); BRCA1(15),low
