drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.06006374822158,RB1(42); HSPB1(16); AKT1(13); HSPA1A(13); PPARG(12),very_high
docetaxel,10.0,60.63333539957786,RB1(42); HSPB1(16); AKT1(13); HSPA1A(13); PPARG(12),high
vinorelbine,10.0,52.951387976392596,RB1(42); HSPB1(16); AKT1(13); HSPA1A(13); PPARG(12),high
vinblastine,10.0,48.45922497559967,RB1(42); HSPB1(16); AKT1(13); HSPA1A(13); PPARG(12),moderate
methotrexate,10.0,44.01398346772584,RB1(42); HSPB1(16); AKT1(13); HSPA1A(13); PPARG(12),moderate
temsirolimus,10.0,43.288402870413414,RB1(42); HSPB1(16); AKT1(13); HSPA1A(13); PPARG(12),moderate
MG-132,10.0,33.330749854763305,RB1(42); HSPB1(16); AKT1(13); HSPA1A(13); PPARG(12),moderate
lestaurtinib,10.0,29.08008189646939,RB1(42); HSPB1(16); AKT1(13); HSPA1A(13); PPARG(12),low
navitoclax,10.0,27.873942327818803,RB1(42); HSPB1(16); AKT1(13); HSPA1A(13); PPARG(12),low
lapatinib,10.0,27.065063965112188,RB1(42); HSPB1(16); AKT1(13); HSPA1A(13); PPARG(12),low
bortezomib,10.0,26.223772650247874,RB1(42); HSPB1(16); AKT1(13); HSPA1A(13); PPARG(12),low
ABT-737,10.0,23.943211293803085,RB1(42); HSPB1(16); AKT1(13); HSPA1A(13); PPARG(12),low
AZD-6482,10.0,23.883877363217856,RB1(42); HSPB1(16); AKT1(13); HSPA1A(13); PPARG(12),low
foretinib,10.0,23.64335765307883,RB1(42); HSPB1(16); AKT1(13); HSPA1A(13); PPARG(12),low
MK-1775,10.0,22.324038794453596,RB1(42); HSPB1(16); AKT1(13); HSPA1A(13); PPARG(12),low
staurosporine,10.0,22.14112499995817,RB1(42); HSPB1(16); AKT1(13); HSPA1A(13); PPARG(12),low
gemcitabine,10.0,20.28816935755637,RB1(42); HSPB1(16); AKT1(13); HSPA1A(13); PPARG(12),low
sorafenib,10.0,19.408097942958154,RB1(42); HSPB1(16); AKT1(13); HSPA1A(13); PPARG(12),low
epirubicin,10.0,18.330338398825035,RB1(42); HSPB1(16); AKT1(13); HSPA1A(13); PPARG(12),low
nilotinib,10.0,17.262897963511218,RB1(42); HSPB1(16); AKT1(13); HSPA1A(13); PPARG(12),low
