drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.92384281650895,RB1(52); SRC(21); PPARG(19); ABL1(16); HDAC2(15),high
docetaxel,10.0,60.49711446786516,RB1(52); SRC(21); PPARG(19); ABL1(16); HDAC2(15),high
vinorelbine,10.0,52.84737245578991,RB1(52); SRC(21); PPARG(19); ABL1(16); HDAC2(15),high
vinblastine,10.0,48.35520945499698,RB1(52); SRC(21); PPARG(19); ABL1(16); HDAC2(15),moderate
temsirolimus,10.0,44.650974718588664,RB1(52); SRC(21); PPARG(19); ABL1(16); HDAC2(15),moderate
methotrexate,10.0,44.08144743377802,RB1(52); SRC(21); PPARG(19); ABL1(16); HDAC2(15),moderate
MG-132,10.0,33.39821382081548,RB1(52); SRC(21); PPARG(19); ABL1(16); HDAC2(15),moderate
lestaurtinib,10.0,30.3880144970482,RB1(52); SRC(21); PPARG(19); ABL1(16); HDAC2(15),moderate
navitoclax,10.0,29.181874928397576,RB1(52); SRC(21); PPARG(19); ABL1(16); HDAC2(15),low
lapatinib,10.0,27.0778886835679,RB1(52); SRC(21); PPARG(19); ABL1(16); HDAC2(15),low
bortezomib,10.0,26.29123661630006,RB1(52); SRC(21); PPARG(19); ABL1(16); HDAC2(15),low
ABT-737,10.0,25.25114389438186,RB1(52); SRC(21); PPARG(19); ABL1(16); HDAC2(15),low
AZD-6482,10.0,23.931723667066333,RB1(52); SRC(21); PPARG(19); ABL1(16); HDAC2(15),low
foretinib,10.0,23.539342132476165,RB1(52); SRC(21); PPARG(19); ABL1(16); HDAC2(15),low
staurosporine,10.0,23.50369684813342,RB1(52); SRC(21); PPARG(19); ABL1(16); HDAC2(15),low
MK-1775,10.0,22.359297349395767,RB1(52); SRC(21); PPARG(19); ABL1(16); HDAC2(15),low
gemcitabine,10.0,20.355633323608565,RB1(52); SRC(21); PPARG(19); ABL1(16); HDAC2(15),low
epirubicin,10.0,19.692910247000277,RB1(52); SRC(21); PPARG(19); ABL1(16); HDAC2(15),low
sorafenib,10.0,19.249443174759005,RB1(52); SRC(21); PPARG(19); ABL1(16); HDAC2(15),low
nilotinib,10.0,17.158882442908546,RB1(52); SRC(21); PPARG(19); ABL1(16); HDAC2(15),low
