drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.04,100.0,HSPB1(22); RB1(19); JUN(17); PPARG(15); HES1(12),very_high
sirolimus,1.11,100.0,HSPB1(22); RB1(19); JUN(17); PPARG(15); HES1(12),very_high
docetaxel,1.11,67.77263419654325,HSPB1(22); RB1(19); JUN(17); PPARG(15); HES1(12),high
paclitaxel,10.0,67.4407445780124,HSPB1(22); RB1(19); JUN(17); PPARG(15); HES1(12),high
vinorelbine,10.0,51.87870889291716,HSPB1(22); RB1(19); JUN(17); PPARG(15); HES1(12),high
vinblastine,10.0,50.48534758401288,HSPB1(22); RB1(19); JUN(17); PPARG(15); HES1(12),high
NVP-BEZ235,10.0,35.94073705757801,HSPB1(22); RB1(19); JUN(17); PPARG(15); HES1(12),moderate
NVP-AUY922,1.11,35.39848115560276,HSPB1(22); RB1(19); JUN(17); PPARG(15); HES1(12),moderate
lestaurtinib,10.0,35.06578367643964,HSPB1(22); RB1(19); JUN(17); PPARG(15); HES1(12),moderate
methotrexate,10.0,34.90325846804778,HSPB1(22); RB1(19); JUN(17); PPARG(15); HES1(12),moderate
epirubicin,10.0,33.343689482697314,HSPB1(22); RB1(19); JUN(17); PPARG(15); HES1(12),moderate
camptothecin,1.11,32.07074055284581,HSPB1(22); RB1(19); JUN(17); PPARG(15); HES1(12),moderate
gemcitabine,10.0,31.789348016146768,HSPB1(22); RB1(19); JUN(17); PPARG(15); HES1(12),moderate
staurosporine,10.0,30.80991774708502,HSPB1(22); RB1(19); JUN(17); PPARG(15); HES1(12),moderate
GDC-0941,10.0,30.18141862264828,HSPB1(22); RB1(19); JUN(17); PPARG(15); HES1(12),moderate
tanespimycin,10.0,27.30370637933757,HSPB1(22); RB1(19); JUN(17); PPARG(15); HES1(12),low
SN-38,1.11,26.766528577787813,HSPB1(22); RB1(19); JUN(17); PPARG(15); HES1(12),low
nutlin-3,10.0,26.247530397655986,HSPB1(22); RB1(19); JUN(17); PPARG(15); HES1(12),low
topotecan,1.11,23.797258294225845,HSPB1(22); RB1(19); JUN(17); PPARG(15); HES1(12),low
lapatinib,10.0,23.751429625368104,HSPB1(22); RB1(19); JUN(17); PPARG(15); HES1(12),low
