drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,CCL2(27); PPARG(25); JUN(20); CHEK1(16); AXIN1(13),very_high
sirolimus,1.11,99.59300801719372,CCL2(27); PPARG(25); JUN(20); CHEK1(16); AXIN1(13),very_high
docetaxel,1.11,68.70661969083525,CCL2(27); PPARG(25); JUN(20); CHEK1(16); AXIN1(13),high
paclitaxel,10.0,68.01085356923865,CCL2(27); PPARG(25); JUN(20); CHEK1(16); AXIN1(13),high
vinorelbine,10.0,54.986141668084564,CCL2(27); PPARG(25); JUN(20); CHEK1(16); AXIN1(13),high
vinblastine,10.0,53.59278035918028,CCL2(27); PPARG(25); JUN(20); CHEK1(16); AXIN1(13),high
NVP-BEZ235,10.0,39.687083189195,CCL2(27); PPARG(25); JUN(20); CHEK1(16); AXIN1(13),moderate
NVP-AUY922,1.11,38.78942413358024,CCL2(27); PPARG(25); JUN(20); CHEK1(16); AXIN1(13),moderate
camptothecin,1.11,36.42196297611198,CCL2(27); PPARG(25); JUN(20); CHEK1(16); AXIN1(13),moderate
methotrexate,10.0,35.15460208740351,CCL2(27); PPARG(25); JUN(20); CHEK1(16); AXIN1(13),moderate
lestaurtinib,10.0,35.00624003919228,CCL2(27); PPARG(25); JUN(20); CHEK1(16); AXIN1(13),moderate
GDC-0941,10.0,34.396744161826,CCL2(27); PPARG(25); JUN(20); CHEK1(16); AXIN1(13),moderate
epirubicin,10.0,33.43832444431669,CCL2(27); PPARG(25); JUN(20); CHEK1(16); AXIN1(13),moderate
gemcitabine,10.0,32.6075995951816,CCL2(27); PPARG(25); JUN(20); CHEK1(16); AXIN1(13),moderate
SN-38,1.11,31.29067234794371,CCL2(27); PPARG(25); JUN(20); CHEK1(16); AXIN1(13),moderate
staurosporine,10.0,30.719207515997564,CCL2(27); PPARG(25); JUN(20); CHEK1(16); AXIN1(13),moderate
topotecan,1.11,28.321402064381726,CCL2(27); PPARG(25); JUN(20); CHEK1(16); AXIN1(13),low
nutlin-3,10.0,28.143488079463925,CCL2(27); PPARG(25); JUN(20); CHEK1(16); AXIN1(13),low
tanespimycin,10.0,27.62081910512438,CCL2(27); PPARG(25); JUN(20); CHEK1(16); AXIN1(13),low
lapatinib,10.0,27.12153007744812,CCL2(27); PPARG(25); JUN(20); CHEK1(16); AXIN1(13),low
