drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,71.61325935642937,HES1(19); CCND1(16); SRC(15); KDM5A(13); BRCA1(13),very_high
docetaxel,10.0,62.18653100778553,HES1(19); CCND1(16); SRC(15); KDM5A(13); BRCA1(13),high
vinorelbine,10.0,54.815687757510226,HES1(19); CCND1(16); SRC(15); KDM5A(13); BRCA1(13),high
vinblastine,10.0,50.32352475671729,HES1(19); CCND1(16); SRC(15); KDM5A(13); BRCA1(13),high
temsirolimus,10.0,46.81327347680453,HES1(19); CCND1(16); SRC(15); KDM5A(13); BRCA1(13),moderate
methotrexate,10.0,44.88253819507885,HES1(19); CCND1(16); SRC(15); KDM5A(13); BRCA1(13),moderate
MG-132,10.0,34.27735199516178,HES1(19); CCND1(16); SRC(15); KDM5A(13); BRCA1(13),moderate
lestaurtinib,10.0,33.02716008821534,HES1(19); CCND1(16); SRC(15); KDM5A(13); BRCA1(13),moderate
navitoclax,10.0,30.629162336806235,HES1(19); CCND1(16); SRC(15); KDM5A(13); BRCA1(13),moderate
lapatinib,10.0,28.61841156354321,HES1(19); CCND1(16); SRC(15); KDM5A(13); BRCA1(13),low
bortezomib,10.0,28.361349788798318,HES1(19); CCND1(16); SRC(15); KDM5A(13); BRCA1(13),low
ABT-737,10.0,26.698431302790517,HES1(19); CCND1(16); SRC(15); KDM5A(13); BRCA1(13),low
staurosporine,10.0,26.142842439300544,HES1(19); CCND1(16); SRC(15); KDM5A(13); BRCA1(13),low
AZD-6482,10.0,26.0214545017683,HES1(19); CCND1(16); SRC(15); KDM5A(13); BRCA1(13),low
foretinib,10.0,25.657459830331607,HES1(19); CCND1(16); SRC(15); KDM5A(13); BRCA1(13),low
MK-1775,10.0,23.83626275864222,HES1(19); CCND1(16); SRC(15); KDM5A(13); BRCA1(13),low
gemcitabine,10.0,22.51793208182448,HES1(19); CCND1(16); SRC(15); KDM5A(13); BRCA1(13),low
epirubicin,10.0,22.33205583816741,HES1(19); CCND1(16); SRC(15); KDM5A(13); BRCA1(13),low
sorafenib,10.0,21.504094219935034,HES1(19); CCND1(16); SRC(15); KDM5A(13); BRCA1(13),low
nilotinib,10.0,19.79802803407567,HES1(19); CCND1(16); SRC(15); KDM5A(13); BRCA1(13),low
