drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
sirolimus,1.11,100.0,PPARG(34); CCL2(28); RB1(22); GATA3(21); CHEK1(18),very_high
temsirolimus,1.11,100.0,PPARG(34); CCL2(28); RB1(22); GATA3(21); CHEK1(18),very_high
docetaxel,1.11,67.88643442639074,PPARG(34); CCL2(28); RB1(22); GATA3(21); CHEK1(18),high
paclitaxel,10.0,67.55454480785988,PPARG(34); CCL2(28); RB1(22); GATA3(21); CHEK1(18),high
vinorelbine,10.0,51.93812708308717,PPARG(34); CCL2(28); RB1(22); GATA3(21); CHEK1(18),high
vinblastine,10.0,50.8137428856726,PPARG(34); CCL2(28); RB1(22); GATA3(21); CHEK1(18),high
NVP-BEZ235,10.0,36.726179347176135,PPARG(34); CCL2(28); RB1(22); GATA3(21); CHEK1(18),moderate
methotrexate,10.0,35.54130853785649,PPARG(34); CCL2(28); RB1(22); GATA3(21); CHEK1(18),moderate
lestaurtinib,10.0,35.347695646564134,PPARG(34); CCL2(28); RB1(22); GATA3(21); CHEK1(18),moderate
NVP-AUY922,1.11,34.967706607994494,PPARG(34); CCL2(28); RB1(22); GATA3(21); CHEK1(18),moderate
epirubicin,10.0,33.649668999329194,PPARG(34); CCL2(28); RB1(22); GATA3(21); CHEK1(18),moderate
gemcitabine,10.0,32.30916122027494,PPARG(34); CCL2(28); RB1(22); GATA3(21); CHEK1(18),moderate
camptothecin,1.11,32.22066823440029,PPARG(34); CCL2(28); RB1(22); GATA3(21); CHEK1(18),moderate
staurosporine,10.0,31.012784571309727,PPARG(34); CCL2(28); RB1(22); GATA3(21); CHEK1(18),moderate
GDC-0941,10.0,30.33321954041343,PPARG(34); CCL2(28); RB1(22); GATA3(21); CHEK1(18),moderate
tanespimycin,10.0,27.37646215120293,PPARG(34); CCL2(28); RB1(22); GATA3(21); CHEK1(18),low
SN-38,1.11,26.91645625934233,PPARG(34); CCL2(28); RB1(22); GATA3(21); CHEK1(18),low
nutlin-3,10.0,26.902861634894762,PPARG(34); CCL2(28); RB1(22); GATA3(21); CHEK1(18),low
lapatinib,10.0,24.389479695176824,PPARG(34); CCL2(28); RB1(22); GATA3(21); CHEK1(18),low
navitoclax,10.0,24.279341460015285,PPARG(34); CCL2(28); RB1(22); GATA3(21); CHEK1(18),low
