drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,KDM5A(21); RB1(12); PPARG(11); JUN(10); HSPB1(10),very_high
sirolimus,1.11,99.36893497736784,KDM5A(21); RB1(12); PPARG(11); JUN(10); HSPB1(10),very_high
docetaxel,1.11,66.557170498004,KDM5A(21); RB1(12); PPARG(11); JUN(10); HSPB1(10),high
paclitaxel,10.0,65.86140437640739,KDM5A(21); RB1(12); PPARG(11); JUN(10); HSPB1(10),high
vinorelbine,10.0,49.636423435666586,KDM5A(21); RB1(12); PPARG(11); JUN(10); HSPB1(10),moderate
vinblastine,10.0,48.243062126762304,KDM5A(21); RB1(12); PPARG(11); JUN(10); HSPB1(10),moderate
NVP-BEZ235,10.0,33.82505303507298,KDM5A(21); RB1(12); PPARG(11); JUN(10); HSPB1(10),moderate
NVP-AUY922,1.11,33.752602113396925,KDM5A(21); RB1(12); PPARG(11); JUN(10); HSPB1(10),moderate
lestaurtinib,10.0,32.96398508034465,KDM5A(21); RB1(12); PPARG(11); JUN(10); HSPB1(10),moderate
methotrexate,10.0,32.65746339318335,KDM5A(21); RB1(12); PPARG(11); JUN(10); HSPB1(10),moderate
epirubicin,10.0,31.265958433109642,KDM5A(21); RB1(12); PPARG(11); JUN(10); HSPB1(10),moderate
camptothecin,1.11,30.42982176963054,KDM5A(21); RB1(12); PPARG(11); JUN(10); HSPB1(10),moderate
gemcitabine,10.0,30.007675027230075,KDM5A(21); RB1(12); PPARG(11); JUN(10); HSPB1(10),moderate
staurosporine,10.0,28.69423372458,KDM5A(21); RB1(12); PPARG(11); JUN(10); HSPB1(10),low
GDC-0941,10.0,28.231681608454842,KDM5A(21); RB1(12); PPARG(11); JUN(10); HSPB1(10),low
SN-38,1.11,25.125609794572643,KDM5A(21); RB1(12); PPARG(11); JUN(10); HSPB1(10),low
tanespimycin,10.0,25.057911304473194,KDM5A(21); RB1(12); PPARG(11); JUN(10); HSPB1(10),low
nutlin-3,10.0,23.99490182759031,KDM5A(21); RB1(12); PPARG(11); JUN(10); HSPB1(10),low
topotecan,1.11,22.156339511010668,KDM5A(21); RB1(12); PPARG(11); JUN(10); HSPB1(10),low
lapatinib,10.0,21.934887058863843,KDM5A(21); RB1(12); PPARG(11); JUN(10); HSPB1(10),low
