drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,71.3353672142719,PPARG(89); CCL2(80); RB1(24); HES1(23); EGR1(17),very_high
docetaxel,10.0,61.908638865628106,PPARG(89); CCL2(80); RB1(24); HES1(23); EGR1(17),high
vinorelbine,10.0,53.71239661504563,PPARG(89); CCL2(80); RB1(24); HES1(23); EGR1(17),high
vinblastine,10.0,49.429636980761316,PPARG(89); CCL2(80); RB1(24); HES1(23); EGR1(17),moderate
temsirolimus,10.0,47.13546749662858,PPARG(89); CCL2(80); RB1(24); HES1(23); EGR1(17),moderate
methotrexate,10.0,46.952763677807724,PPARG(89); CCL2(80); RB1(24); HES1(23); EGR1(17),moderate
MG-132,10.0,37.164813743373124,PPARG(89); CCL2(80); RB1(24); HES1(23); EGR1(17),moderate
lestaurtinib,10.0,34.39953287153549,PPARG(89); CCL2(80); RB1(24); HES1(23); EGR1(17),moderate
navitoclax,10.0,31.531686856862436,PPARG(89); CCL2(80); RB1(24); HES1(23); EGR1(17),moderate
lapatinib,10.0,31.373745345727798,PPARG(89); CCL2(80); RB1(24); HES1(23); EGR1(17),moderate
bortezomib,10.0,30.302754990787314,PPARG(89); CCL2(80); RB1(24); HES1(23); EGR1(17),moderate
staurosporine,10.0,27.796331512514737,PPARG(89); CCL2(80); RB1(24); HES1(23); EGR1(17),low
ABT-737,10.0,27.600955822846718,PPARG(89); CCL2(80); RB1(24); HES1(23); EGR1(17),low
AZD-6482,10.0,27.286442799177212,PPARG(89); CCL2(80); RB1(24); HES1(23); EGR1(17),low
MK-1775,10.0,25.753436317249708,PPARG(89); CCL2(80); RB1(24); HES1(23); EGR1(17),low
foretinib,10.0,25.4613597565329,PPARG(89); CCL2(80); RB1(24); HES1(23); EGR1(17),low
gemcitabine,10.0,24.51449946710631,PPARG(89); CCL2(80); RB1(24); HES1(23); EGR1(17),low
epirubicin,10.0,23.98876690916019,PPARG(89); CCL2(80); RB1(24); HES1(23); EGR1(17),low
sorafenib,10.0,22.041210356968282,PPARG(89); CCL2(80); RB1(24); HES1(23); EGR1(17),low
tanespimycin,10.0,19.99361716608093,PPARG(89); CCL2(80); RB1(24); HES1(23); EGR1(17),low
