drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,CHEK1(25); HDAC2(17); KDM5A(12); CDKN1B(12); PPARG(11),very_high
sirolimus,1.11,99.95009437567741,CHEK1(25); HDAC2(17); KDM5A(12); CDKN1B(12); PPARG(11),very_high
docetaxel,1.11,67.14078432875374,CHEK1(25); HDAC2(17); KDM5A(12); CDKN1B(12); PPARG(11),high
paclitaxel,10.0,66.44501820715713,CHEK1(25); HDAC2(17); KDM5A(12); CDKN1B(12); PPARG(11),high
vinorelbine,10.0,50.2674297604516,CHEK1(25); HDAC2(17); KDM5A(12); CDKN1B(12); PPARG(11),high
vinblastine,10.0,48.874068451547316,CHEK1(25); HDAC2(17); KDM5A(12); CDKN1B(12); PPARG(11),moderate
NVP-BEZ235,10.0,34.98038046437548,CHEK1(25); HDAC2(17); KDM5A(12); CDKN1B(12); PPARG(11),moderate
NVP-AUY922,1.11,34.38711805579574,CHEK1(25); HDAC2(17); KDM5A(12); CDKN1B(12); PPARG(11),moderate
methotrexate,10.0,33.79550965505581,CHEK1(25); HDAC2(17); KDM5A(12); CDKN1B(12); PPARG(11),moderate
lestaurtinib,10.0,33.60189676376348,CHEK1(25); HDAC2(17); KDM5A(12); CDKN1B(12); PPARG(11),moderate
epirubicin,10.0,31.903870116528452,CHEK1(25); HDAC2(17); KDM5A(12); CDKN1B(12); PPARG(11),moderate
gemcitabine,10.0,31.149117030122525,CHEK1(25); HDAC2(17); KDM5A(12); CDKN1B(12); PPARG(11),moderate
camptothecin,1.11,31.08161887945941,CHEK1(25); HDAC2(17); KDM5A(12); CDKN1B(12); PPARG(11),moderate
staurosporine,10.0,29.83227998645243,CHEK1(25); HDAC2(17); KDM5A(12); CDKN1B(12); PPARG(11),low
GDC-0941,10.0,28.883478718283705,CHEK1(25); HDAC2(17); KDM5A(12); CDKN1B(12); PPARG(11),low
tanespimycin,10.0,26.176221966475385,CHEK1(25); HDAC2(17); KDM5A(12); CDKN1B(12); PPARG(11),low
SN-38,1.11,25.777406904401506,CHEK1(25); HDAC2(17); KDM5A(12); CDKN1B(12); PPARG(11),low
nutlin-3,10.0,25.099327145243816,CHEK1(25); HDAC2(17); KDM5A(12); CDKN1B(12); PPARG(11),low
topotecan,1.11,22.80813662083953,CHEK1(25); HDAC2(17); KDM5A(12); CDKN1B(12); PPARG(11),low
lapatinib,10.0,22.643680812376154,CHEK1(25); HDAC2(17); KDM5A(12); CDKN1B(12); PPARG(11),low
