drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.41293399720193,PPARG(25); KDM5A(9); HMGCR(8); SRC(7); CCL2(6),high
docetaxel,10.0,59.98620564855821,PPARG(25); KDM5A(9); HMGCR(8); SRC(7); CCL2(6),high
vinorelbine,10.0,52.30425822537295,PPARG(25); KDM5A(9); HMGCR(8); SRC(7); CCL2(6),high
vinblastine,10.0,47.81209522458002,PPARG(25); KDM5A(9); HMGCR(8); SRC(7); CCL2(6),moderate
methotrexate,10.0,44.04019417057837,PPARG(25); KDM5A(9); HMGCR(8); SRC(7); CCL2(6),moderate
temsirolimus,10.0,43.0337623581372,PPARG(25); KDM5A(9); HMGCR(8); SRC(7); CCL2(6),moderate
MG-132,10.0,33.35696055761582,PPARG(25); KDM5A(9); HMGCR(8); SRC(7); CCL2(6),moderate
lestaurtinib,10.0,28.82544138419319,PPARG(25); KDM5A(9); HMGCR(8); SRC(7); CCL2(6),low
navitoclax,10.0,27.61930181554261,PPARG(25); KDM5A(9); HMGCR(8); SRC(7); CCL2(6),low
lapatinib,10.0,27.09127466796473,PPARG(25); KDM5A(9); HMGCR(8); SRC(7); CCL2(6),low
bortezomib,10.0,26.2499833531004,PPARG(25); KDM5A(9); HMGCR(8); SRC(7); CCL2(6),low
AZD-6482,10.0,23.91008806607039,PPARG(25); KDM5A(9); HMGCR(8); SRC(7); CCL2(6),low
ABT-737,10.0,23.688570781526884,PPARG(25); KDM5A(9); HMGCR(8); SRC(7); CCL2(6),low
foretinib,10.0,22.996227902059193,PPARG(25); KDM5A(9); HMGCR(8); SRC(7); CCL2(6),low
MK-1775,10.0,22.350249497306137,PPARG(25); KDM5A(9); HMGCR(8); SRC(7); CCL2(6),low
staurosporine,10.0,21.886484487681976,PPARG(25); KDM5A(9); HMGCR(8); SRC(7); CCL2(6),low
gemcitabine,10.0,20.31438006040891,PPARG(25); KDM5A(9); HMGCR(8); SRC(7); CCL2(6),low
sorafenib,10.0,18.760968191938517,PPARG(25); KDM5A(9); HMGCR(8); SRC(7); CCL2(6),low
epirubicin,10.0,18.07569788654884,PPARG(25); KDM5A(9); HMGCR(8); SRC(7); CCL2(6),low
nilotinib,10.0,16.615768212491574,PPARG(25); KDM5A(9); HMGCR(8); SRC(7); CCL2(6),low
