drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.10888610952091,PPARG(28); CCL2(28); RB1(22); AKT1(18); CHEK1(18),high
docetaxel,10.0,58.68215776087717,PPARG(28); CCL2(28); RB1(22); AKT1(18); CHEK1(18),high
vinorelbine,10.0,51.483340837294676,PPARG(28); CCL2(28); RB1(22); AKT1(18); CHEK1(18),high
vinblastine,10.0,46.99117783650174,PPARG(28); CCL2(28); RB1(22); AKT1(18); CHEK1(18),moderate
temsirolimus,10.0,43.12689921575087,PPARG(28); CCL2(28); RB1(22); AKT1(18); CHEK1(18),moderate
methotrexate,10.0,42.51695836916888,PPARG(28); CCL2(28); RB1(22); AKT1(18); CHEK1(18),moderate
MG-132,10.0,32.29280204435711,PPARG(28); CCL2(28); RB1(22); AKT1(18); CHEK1(18),moderate
lestaurtinib,10.0,29.357638576027007,PPARG(28); CCL2(28); RB1(22); AKT1(18); CHEK1(18),low
navitoclax,10.0,27.610074506224002,PPARG(28); CCL2(28); RB1(22); AKT1(18); CHEK1(18),low
lapatinib,10.0,25.829782604897495,PPARG(28); CCL2(28); RB1(22); AKT1(18); CHEK1(18),low
bortezomib,10.0,25.139974492427214,PPARG(28); CCL2(28); RB1(22); AKT1(18); CHEK1(18),low
ABT-737,10.0,23.679343472208277,PPARG(28); CCL2(28); RB1(22); AKT1(18); CHEK1(18),low
AZD-6482,10.0,22.649992919882816,PPARG(28); CCL2(28); RB1(22); AKT1(18); CHEK1(18),low
staurosporine,10.0,22.418681679515764,PPARG(28); CCL2(28); RB1(22); AKT1(18); CHEK1(18),low
foretinib,10.0,21.608432273254778,PPARG(28); CCL2(28); RB1(22); AKT1(18); CHEK1(18),low
MK-1775,10.0,20.757110137030168,PPARG(28); CCL2(28); RB1(22); AKT1(18); CHEK1(18),low
gemcitabine,10.0,18.79114425899943,PPARG(28); CCL2(28); RB1(22); AKT1(18); CHEK1(18),low
epirubicin,10.0,18.58749847054191,PPARG(28); CCL2(28); RB1(22); AKT1(18); CHEK1(18),low
sorafenib,10.0,18.225377777575655,PPARG(28); CCL2(28); RB1(22); AKT1(18); CHEK1(18),low
nilotinib,10.0,15.749000476998845,PPARG(28); CCL2(28); RB1(22); AKT1(18); CHEK1(18),low
