drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.20506263187374,CDK4(29); CCL2(23); HSPB1(22); SRC(21); EGR1(14),very_high
docetaxel,10.0,60.77833428322995,CDK4(29); CCL2(23); HSPB1(22); SRC(21); EGR1(14),high
vinorelbine,10.0,52.534599896872955,CDK4(29); CCL2(23); HSPB1(22); SRC(21); EGR1(14),high
vinblastine,10.0,48.04243689608003,CDK4(29); CCL2(23); HSPB1(22); SRC(21); EGR1(14),moderate
methotrexate,10.0,44.852762356538825,CDK4(29); CCL2(23); HSPB1(22); SRC(21); EGR1(14),moderate
temsirolimus,10.0,43.30824914203339,CDK4(29); CCL2(23); HSPB1(22); SRC(21); EGR1(14),moderate
MG-132,10.0,34.12597595485801,CDK4(29); CCL2(23); HSPB1(22); SRC(21); EGR1(14),moderate
lestaurtinib,10.0,30.06558720089727,CDK4(29); CCL2(23); HSPB1(22); SRC(21); EGR1(14),moderate
lapatinib,10.0,27.95041301122161,CDK4(29); CCL2(23); HSPB1(22); SRC(21); EGR1(14),low
navitoclax,10.0,27.629850337427502,CDK4(29); CCL2(23); HSPB1(22); SRC(21); EGR1(14),low
bortezomib,10.0,27.263917202272214,CDK4(29); CCL2(23); HSPB1(22); SRC(21); EGR1(14),low
AZD-6482,10.0,24.936609664148502,CDK4(29); CCL2(23); HSPB1(22); SRC(21); EGR1(14),low
foretinib,10.0,24.148777836691362,CDK4(29); CCL2(23); HSPB1(22); SRC(21); EGR1(14),low
ABT-737,10.0,23.699119303411777,CDK4(29); CCL2(23); HSPB1(22); SRC(21); EGR1(14),low
staurosporine,10.0,23.181269551982524,CDK4(29); CCL2(23); HSPB1(22); SRC(21); EGR1(14),low
MK-1775,10.0,23.01910863622991,CDK4(29); CCL2(23); HSPB1(22); SRC(21); EGR1(14),low
gemcitabine,10.0,21.47566167859122,CDK4(29); CCL2(23); HSPB1(22); SRC(21); EGR1(14),low
epirubicin,10.0,19.654821238522036,CDK4(29); CCL2(23); HSPB1(22); SRC(21); EGR1(14),low
sorafenib,10.0,19.5062292539628,CDK4(29); CCL2(23); HSPB1(22); SRC(21); EGR1(14),low
nilotinib,10.0,17.692235134835997,CDK4(29); CCL2(23); HSPB1(22); SRC(21); EGR1(14),low
