drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,JUN(21); EGR1(21); GATA3(20); PPARG(15); CDKN1B(13),very_high
sirolimus,1.11,100.0,JUN(21); EGR1(21); GATA3(20); PPARG(15); CDKN1B(13),very_high
docetaxel,1.11,67.43385390458175,JUN(21); EGR1(21); GATA3(20); PPARG(15); CDKN1B(13),high
paclitaxel,10.0,66.73808778298515,JUN(21); EGR1(21); GATA3(20); PPARG(15); CDKN1B(13),high
vinorelbine,10.0,50.56049933627958,JUN(21); EGR1(21); GATA3(20); PPARG(15); CDKN1B(13),high
vinblastine,10.0,49.167138027375294,JUN(21); EGR1(21); GATA3(20); PPARG(15); CDKN1B(13),moderate
NVP-BEZ235,10.0,34.752638553299775,JUN(21); EGR1(21); GATA3(20); PPARG(15); CDKN1B(13),moderate
NVP-AUY922,1.11,34.68018763162372,JUN(21); EGR1(21); GATA3(20); PPARG(15); CDKN1B(13),moderate
lestaurtinib,10.0,33.8776851721614,JUN(21); EGR1(21); GATA3(20); PPARG(15); CDKN1B(13),moderate
methotrexate,10.0,33.58504891141016,JUN(21); EGR1(21); GATA3(20); PPARG(15); CDKN1B(13),moderate
epirubicin,10.0,32.179658524926396,JUN(21); EGR1(21); GATA3(20); PPARG(15); CDKN1B(13),moderate
camptothecin,1.11,31.35740728785734,JUN(21); EGR1(21); GATA3(20); PPARG(15); CDKN1B(13),moderate
gemcitabine,10.0,30.92137511904684,JUN(21); EGR1(21); GATA3(20); PPARG(15); CDKN1B(13),moderate
staurosporine,10.0,29.621819242806794,JUN(21); EGR1(21); GATA3(20); PPARG(15); CDKN1B(13),low
GDC-0941,10.0,29.214566874811233,JUN(21); EGR1(21); GATA3(20); PPARG(15); CDKN1B(13),low
SN-38,1.11,26.05319531279944,JUN(21); EGR1(21); GATA3(20); PPARG(15); CDKN1B(13),low
tanespimycin,10.0,25.965761222829755,JUN(21); EGR1(21); GATA3(20); PPARG(15); CDKN1B(13),low
nutlin-3,10.0,24.871585234168123,JUN(21); EGR1(21); GATA3(20); PPARG(15); CDKN1B(13),low
topotecan,1.11,23.083925029237463,JUN(21); EGR1(21); GATA3(20); PPARG(15); CDKN1B(13),low
lapatinib,10.0,22.433220068730524,JUN(21); EGR1(21); GATA3(20); PPARG(15); CDKN1B(13),low
