drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.9220913785656,EGR1(28); CDK1(14); CDK4(14); JUN(10); AURKB(9),high
docetaxel,10.0,60.495363029921805,EGR1(28); CDK1(14); CDK4(14); JUN(10); AURKB(9),high
vinorelbine,10.0,52.84562101784656,EGR1(28); CDK1(14); CDK4(14); JUN(10); AURKB(9),high
vinblastine,10.0,48.35345801705363,EGR1(28); CDK1(14); CDK4(14); JUN(10); AURKB(9),moderate
methotrexate,10.0,43.90821650917981,EGR1(28); CDK1(14); CDK4(14); JUN(10); AURKB(9),moderate
temsirolimus,10.0,42.901784696738645,EGR1(28); CDK1(14); CDK4(14); JUN(10); AURKB(9),moderate
MG-132,10.0,33.22498289621726,EGR1(28); CDK1(14); CDK4(14); JUN(10); AURKB(9),moderate
lestaurtinib,10.0,28.693463722794633,EGR1(28); CDK1(14); CDK4(14); JUN(10); AURKB(9),low
navitoclax,10.0,27.48732415414405,EGR1(28); CDK1(14); CDK4(14); JUN(10); AURKB(9),low
lapatinib,10.0,26.959297006566164,EGR1(28); CDK1(14); CDK4(14); JUN(10); AURKB(9),low
bortezomib,10.0,26.118005691701836,EGR1(28); CDK1(14); CDK4(14); JUN(10); AURKB(9),low
AZD-6482,10.0,23.74590499356181,EGR1(28); CDK1(14); CDK4(14); JUN(10); AURKB(9),low
ABT-737,10.0,23.556593120128326,EGR1(28); CDK1(14); CDK4(14); JUN(10); AURKB(9),low
foretinib,10.0,23.5375906945328,EGR1(28); CDK1(14); CDK4(14); JUN(10); AURKB(9),low
MK-1775,10.0,22.186066424797556,EGR1(28); CDK1(14); CDK4(14); JUN(10); AURKB(9),low
staurosporine,10.0,21.754506826283418,EGR1(28); CDK1(14); CDK4(14); JUN(10); AURKB(9),low
gemcitabine,10.0,20.182402399010346,EGR1(28); CDK1(14); CDK4(14); JUN(10); AURKB(9),low
sorafenib,10.0,19.633508305542,EGR1(28); CDK1(14); CDK4(14); JUN(10); AURKB(9),low
epirubicin,10.0,17.943720225150276,EGR1(28); CDK1(14); CDK4(14); JUN(10); AURKB(9),low
nilotinib,10.0,17.157131004965187,EGR1(28); CDK1(14); CDK4(14); JUN(10); AURKB(9),low
