drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,PPARG(19); GATA3(19); HDAC2(17); HES1(16); KDM5A(14),very_high
sirolimus,1.11,99.04732839516869,PPARG(19); GATA3(19); HDAC2(17); HES1(16); KDM5A(14),very_high
docetaxel,1.11,66.23118485304373,PPARG(19); GATA3(19); HDAC2(17); HES1(16); KDM5A(14),high
paclitaxel,10.0,65.53541873144712,PPARG(19); GATA3(19); HDAC2(17); HES1(16); KDM5A(14),high
vinorelbine,10.0,49.37613472983349,PPARG(19); GATA3(19); HDAC2(17); HES1(16); KDM5A(14),moderate
vinblastine,10.0,47.982773420929206,PPARG(19); GATA3(19); HDAC2(17); HES1(16); KDM5A(14),moderate
NVP-AUY922,1.11,33.484352075287035,PPARG(19); GATA3(19); HDAC2(17); HES1(16); KDM5A(14),moderate
NVP-BEZ235,10.0,33.437139616832496,PPARG(19); GATA3(19); HDAC2(17); HES1(16); KDM5A(14),moderate
lestaurtinib,10.0,32.56218623569412,PPARG(19); GATA3(19); HDAC2(17); HES1(16); KDM5A(14),moderate
methotrexate,10.0,32.38237985987216,PPARG(19); GATA3(19); HDAC2(17); HES1(16); KDM5A(14),moderate
epirubicin,10.0,30.994270640818478,PPARG(19); GATA3(19); HDAC2(17); HES1(16); KDM5A(14),moderate
camptothecin,1.11,30.148193308153814,PPARG(19); GATA3(19); HDAC2(17); HES1(16); KDM5A(14),moderate
gemcitabine,10.0,29.735987234938918,PPARG(19); GATA3(19); HDAC2(17); HES1(16); KDM5A(14),low
GDC-0941,10.0,27.973879242573716,PPARG(19); GATA3(19); HDAC2(17); HES1(16); KDM5A(14),low
staurosporine,10.0,27.693792547141012,PPARG(19); GATA3(19); HDAC2(17); HES1(16); KDM5A(14),low
SN-38,1.11,24.84398133309591,PPARG(19); GATA3(19); HDAC2(17); HES1(16); KDM5A(14),low
tanespimycin,10.0,24.763092171291778,PPARG(19); GATA3(19); HDAC2(17); HES1(16); KDM5A(14),low
nutlin-3,10.0,23.693030845261507,PPARG(19); GATA3(19); HDAC2(17); HES1(16); KDM5A(14),low
topotecan,1.11,21.874711049533936,PPARG(19); GATA3(19); HDAC2(17); HES1(16); KDM5A(14),low
navitoclax,10.0,21.141132302518603,PPARG(19); GATA3(19); HDAC2(17); HES1(16); KDM5A(14),low
