drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
sirolimus,1.11,100.0,CCL2(36); KDM5A(27); PPARG(23); HSPB1(15); TLR4(8),very_high
temsirolimus,0.04,100.0,CCL2(36); KDM5A(27); PPARG(23); HSPB1(15); TLR4(8),very_high
docetaxel,1.11,69.26694501750913,CCL2(36); KDM5A(27); PPARG(23); HSPB1(15); TLR4(8),high
paclitaxel,10.0,68.57117889591252,CCL2(36); KDM5A(27); PPARG(23); HSPB1(15); TLR4(8),high
vinorelbine,10.0,55.4955648831095,CCL2(36); KDM5A(27); PPARG(23); HSPB1(15); TLR4(8),high
vinblastine,10.0,54.10220357420522,CCL2(36); KDM5A(27); PPARG(23); HSPB1(15); TLR4(8),high
NVP-BEZ235,10.0,40.19650640421994,CCL2(36); KDM5A(27); PPARG(23); HSPB1(15); TLR4(8),moderate
NVP-AUY922,1.11,39.29884734860518,CCL2(36); KDM5A(27); PPARG(23); HSPB1(15); TLR4(8),moderate
camptothecin,1.11,36.90756009554131,CCL2(36); KDM5A(27); PPARG(23); HSPB1(15); TLR4(8),moderate
methotrexate,10.0,35.66402530242845,CCL2(36); KDM5A(27); PPARG(23); HSPB1(15); TLR4(8),moderate
lestaurtinib,10.0,35.501777827807175,CCL2(36); KDM5A(27); PPARG(23); HSPB1(15); TLR4(8),moderate
GDC-0941,10.0,34.90616737685094,CCL2(36); KDM5A(27); PPARG(23); HSPB1(15); TLR4(8),moderate
epirubicin,10.0,33.77968363406489,CCL2(36); KDM5A(27); PPARG(23); HSPB1(15); TLR4(8),moderate
gemcitabine,10.0,32.94895878492979,CCL2(36); KDM5A(27); PPARG(23); HSPB1(15); TLR4(8),moderate
SN-38,1.11,31.776269467373076,CCL2(36); KDM5A(27); PPARG(23); HSPB1(15); TLR4(8),moderate
staurosporine,10.0,31.2286307310225,CCL2(36); KDM5A(27); PPARG(23); HSPB1(15); TLR4(8),moderate
topotecan,1.11,28.806999183811048,CCL2(36); KDM5A(27); PPARG(23); HSPB1(15); TLR4(8),low
nutlin-3,10.0,28.703813406137836,CCL2(36); KDM5A(27); PPARG(23); HSPB1(15); TLR4(8),low
tanespimycin,10.0,28.149977920019555,CCL2(36); KDM5A(27); PPARG(23); HSPB1(15); TLR4(8),low
BI-2536,1.11,27.60884190838874,CCL2(36); KDM5A(27); PPARG(23); HSPB1(15); TLR4(8),low
