drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,73.2074019816168,CCL2(38); HSPB1(18); CHEK1(17); PLK1(13); BAX(11),very_high
docetaxel,10.0,63.78067363297296,CCL2(38); HSPB1(18); CHEK1(17); PLK1(13); BAX(11),high
vinorelbine,10.0,55.70231225679489,CCL2(38); HSPB1(18); CHEK1(17); PLK1(13); BAX(11),high
vinblastine,10.0,51.41955262251058,CCL2(38); HSPB1(18); CHEK1(17); PLK1(13); BAX(11),high
temsirolimus,10.0,48.5695926258184,CCL2(38); HSPB1(18); CHEK1(17); PLK1(13); BAX(11),moderate
methotrexate,10.0,48.41272220048138,CCL2(38); HSPB1(18); CHEK1(17); PLK1(13); BAX(11),moderate
MG-132,10.0,39.03799920678306,CCL2(38); HSPB1(18); CHEK1(17); PLK1(13); BAX(11),moderate
lestaurtinib,10.0,36.327357582541914,CCL2(38); HSPB1(18); CHEK1(17); PLK1(13); BAX(11),moderate
navitoclax,10.0,33.45951156786888,CCL2(38); HSPB1(18); CHEK1(17); PLK1(13); BAX(11),moderate
lapatinib,10.0,33.1500868543402,CCL2(38); HSPB1(18); CHEK1(17); PLK1(13); BAX(11),moderate
bortezomib,10.0,32.17594045419728,CCL2(38); HSPB1(18); CHEK1(17); PLK1(13); BAX(11),moderate
staurosporine,10.0,29.669516975924697,CCL2(38); HSPB1(18); CHEK1(17); PLK1(13); BAX(11),low
ABT-737,10.0,29.528780533853155,CCL2(38); HSPB1(18); CHEK1(17); PLK1(13); BAX(11),low
AZD-6482,10.0,29.029159639276504,CCL2(38); HSPB1(18); CHEK1(17); PLK1(13); BAX(11),low
MK-1775,10.0,27.508740906255305,CCL2(38); HSPB1(18); CHEK1(17); PLK1(13); BAX(11),low
foretinib,10.0,27.451275398282156,CCL2(38); HSPB1(18); CHEK1(17); PLK1(13); BAX(11),low
gemcitabine,10.0,25.974457989779985,CCL2(38); HSPB1(18); CHEK1(17); PLK1(13); BAX(11),low
epirubicin,10.0,25.86195237257015,CCL2(38); HSPB1(18); CHEK1(17); PLK1(13); BAX(11),low
sorafenib,10.0,24.085765246314022,CCL2(38); HSPB1(18); CHEK1(17); PLK1(13); BAX(11),low
tanespimycin,10.0,21.8668026294909,CCL2(38); HSPB1(18); CHEK1(17); PLK1(13); BAX(11),low
