drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,RB1(26); KDM5A(19); CDKN1B(17); CASP3(14); JUN(11),very_high
sirolimus,1.11,99.27404902399736,RB1(26); KDM5A(19); CDKN1B(17); CASP3(14); JUN(11),very_high
paclitaxel,10.0,66.57327732227098,RB1(26); KDM5A(19); CDKN1B(17); CASP3(14); JUN(11),high
docetaxel,1.11,66.47518664930246,RB1(26); KDM5A(19); CDKN1B(17); CASP3(14); JUN(11),high
vinorelbine,10.0,50.410483703043525,RB1(26); KDM5A(19); CDKN1B(17); CASP3(14); JUN(11),high
vinblastine,10.0,49.01712239413925,RB1(26); KDM5A(19); CDKN1B(17); CASP3(14); JUN(11),moderate
NVP-BEZ235,10.0,34.457717040226285,RB1(26); KDM5A(19); CDKN1B(17); CASP3(14); JUN(11),moderate
NVP-AUY922,1.11,33.72835387154574,RB1(26); KDM5A(19); CDKN1B(17); CASP3(14); JUN(11),moderate
lestaurtinib,10.0,33.5827636590879,RB1(26); KDM5A(19); CDKN1B(17); CASP3(14); JUN(11),moderate
methotrexate,10.0,33.420238450696054,RB1(26); KDM5A(19); CDKN1B(17); CASP3(14); JUN(11),moderate
epirubicin,10.0,32.01484806421228,RB1(26); KDM5A(19); CDKN1B(17); CASP3(14); JUN(11),moderate
gemcitabine,10.0,30.756564658332692,RB1(26); KDM5A(19); CDKN1B(17); CASP3(14); JUN(11),moderate
camptothecin,1.11,30.374913936982452,RB1(26); KDM5A(19); CDKN1B(17); CASP3(14); JUN(11),moderate
GDC-0941,10.0,29.049756414097093,RB1(26); KDM5A(19); CDKN1B(17); CASP3(14); JUN(11),low
staurosporine,10.0,28.73165113796485,RB1(26); KDM5A(19); CDKN1B(17); CASP3(14); JUN(11),low
tanespimycin,10.0,25.8009507621156,RB1(26); KDM5A(19); CDKN1B(17); CASP3(14); JUN(11),low
SN-38,1.11,25.070701961924556,RB1(26); KDM5A(19); CDKN1B(17); CASP3(14); JUN(11),low
nutlin-3,10.0,24.713608268655282,RB1(26); KDM5A(19); CDKN1B(17); CASP3(14); JUN(11),low
navitoclax,10.0,22.178990893342434,RB1(26); KDM5A(19); CDKN1B(17); CASP3(14); JUN(11),low
lapatinib,10.0,22.10241552460804,RB1(26); KDM5A(19); CDKN1B(17); CASP3(14); JUN(11),low
