drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.04,100.0,RB1(29); KDM5A(18); PPARG(17); HES1(10); CHEK1(10),very_high
sirolimus,1.11,100.0,RB1(29); KDM5A(18); PPARG(17); HES1(10); CHEK1(10),very_high
docetaxel,1.11,67.42448285715254,RB1(29); KDM5A(18); PPARG(17); HES1(10); CHEK1(10),high
paclitaxel,10.0,67.09259323862169,RB1(29); KDM5A(18); PPARG(17); HES1(10); CHEK1(10),high
vinorelbine,10.0,51.54535238100458,RB1(29); KDM5A(18); PPARG(17); HES1(10); CHEK1(10),high
vinblastine,10.0,50.151991072100294,RB1(29); KDM5A(18); PPARG(17); HES1(10); CHEK1(10),high
NVP-BEZ235,10.0,35.722696770546676,RB1(29); KDM5A(18); PPARG(17); HES1(10); CHEK1(10),moderate
NVP-AUY922,1.11,35.04349632101077,RB1(29); KDM5A(18); PPARG(17); HES1(10); CHEK1(10),moderate
lestaurtinib,10.0,34.8477433894083,RB1(29); KDM5A(18); PPARG(17); HES1(10); CHEK1(10),moderate
methotrexate,10.0,34.5551071286571,RB1(29); KDM5A(18); PPARG(17); HES1(10); CHEK1(10),moderate
epirubicin,10.0,33.14971674217335,RB1(29); KDM5A(18); PPARG(17); HES1(10); CHEK1(10),moderate
camptothecin,1.11,31.696889881648808,RB1(29); KDM5A(18); PPARG(17); HES1(10); CHEK1(10),moderate
gemcitabine,10.0,31.59537527562277,RB1(29); KDM5A(18); PPARG(17); HES1(10); CHEK1(10),moderate
staurosporine,10.0,29.996630868285205,RB1(29); KDM5A(18); PPARG(17); HES1(10); CHEK1(10),low
GDC-0941,10.0,29.833267283257577,RB1(29); KDM5A(18); PPARG(17); HES1(10); CHEK1(10),low
tanespimycin,10.0,26.955555039946866,RB1(29); KDM5A(18); PPARG(17); HES1(10); CHEK1(10),low
SN-38,1.11,26.392677906590862,RB1(29); KDM5A(18); PPARG(17); HES1(10); CHEK1(10),low
nutlin-3,10.0,25.892545563063976,RB1(29); KDM5A(18); PPARG(17); HES1(10); CHEK1(10),low
topotecan,1.11,23.423407623028886,RB1(29); KDM5A(18); PPARG(17); HES1(10); CHEK1(10),low
navitoclax,10.0,23.31385957130345,RB1(29); KDM5A(18); PPARG(17); HES1(10); CHEK1(10),low
