drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,72.73914456776207,CCL2(36); KDM5A(14); HSPB1(11); HSPA8(9); CDK4(8),very_high
docetaxel,10.0,63.31241621911823,CCL2(36); KDM5A(14); HSPB1(11); HSPA8(9); CDK4(8),high
vinorelbine,10.0,55.11617396853579,CCL2(36); KDM5A(14); HSPB1(11); HSPA8(9); CDK4(8),high
vinblastine,10.0,50.83341433425148,CCL2(36); KDM5A(14); HSPB1(11); HSPA8(9); CDK4(8),high
methotrexate,10.0,48.36543999219897,CCL2(36); KDM5A(14); HSPB1(11); HSPA8(9); CDK4(8),moderate
temsirolimus,10.0,47.99615575025666,CCL2(36); KDM5A(14); HSPB1(11); HSPA8(9); CDK4(8),moderate
MG-132,10.0,38.62334040517882,CCL2(36); KDM5A(14); HSPB1(11); HSPA8(9); CDK4(8),moderate
lestaurtinib,10.0,35.260221125163575,CCL2(36); KDM5A(14); HSPB1(11); HSPA8(9); CDK4(8),moderate
lapatinib,10.0,32.78642166011907,CCL2(36); KDM5A(14); HSPB1(11); HSPA8(9); CDK4(8),moderate
navitoclax,10.0,32.37197850264983,CCL2(36); KDM5A(14); HSPB1(11); HSPA8(9); CDK4(8),moderate
bortezomib,10.0,31.7154313051786,CCL2(36); KDM5A(14); HSPB1(11); HSPA8(9); CDK4(8),moderate
AZD-6482,10.0,28.686531364662187,CCL2(36); KDM5A(14); HSPB1(11); HSPA8(9); CDK4(8),low
staurosporine,10.0,28.657019766142856,CCL2(36); KDM5A(14); HSPB1(11); HSPA8(9); CDK4(8),low
ABT-737,10.0,28.441247468634124,CCL2(36); KDM5A(14); HSPB1(11); HSPA8(9); CDK4(8),low
MK-1775,10.0,27.16611263164099,CCL2(36); KDM5A(14); HSPB1(11); HSPA8(9); CDK4(8),low
foretinib,10.0,26.819286762608623,CCL2(36); KDM5A(14); HSPB1(11); HSPA8(9); CDK4(8),low
gemcitabine,10.0,25.927175781497592,CCL2(36); KDM5A(14); HSPB1(11); HSPA8(9); CDK4(8),low
epirubicin,10.0,24.829058554947597,CCL2(36); KDM5A(14); HSPB1(11); HSPA8(9); CDK4(8),low
sorafenib,10.0,23.399137363044005,CCL2(36); KDM5A(14); HSPB1(11); HSPA8(9); CDK4(8),low
tanespimycin,10.0,21.452143827886676,CCL2(36); KDM5A(14); HSPB1(11); HSPA8(9); CDK4(8),low
