drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,KDM5A(26); GATA3(20); CCL2(17); CASP3(15); JUN(15),very_high
sirolimus,1.11,100.0,KDM5A(26); GATA3(20); CCL2(17); CASP3(15); JUN(15),very_high
docetaxel,1.11,68.00608967985595,KDM5A(26); GATA3(20); CCL2(17); CASP3(15); JUN(15),high
paclitaxel,10.0,67.31032355825934,KDM5A(26); GATA3(20); CCL2(17); CASP3(15); JUN(15),high
vinorelbine,10.0,51.096627827382896,KDM5A(26); GATA3(20); CCL2(17); CASP3(15); JUN(15),high
vinblastine,10.0,49.703266518478614,KDM5A(26); GATA3(20); CCL2(17); CASP3(15); JUN(15),moderate
NVP-BEZ235,10.0,35.273972216924996,KDM5A(26); GATA3(20); CCL2(17); CASP3(15); JUN(15),moderate
NVP-AUY922,1.11,34.63622699730558,KDM5A(26); GATA3(20); CCL2(17); CASP3(15); JUN(15),moderate
lestaurtinib,10.0,34.41290426219666,KDM5A(26); GATA3(20); CCL2(17); CASP3(15); JUN(15),moderate
methotrexate,10.0,34.10638257503541,KDM5A(26); GATA3(20); CCL2(17); CASP3(15); JUN(15),moderate
epirubicin,10.0,32.560699016094986,KDM5A(26); GATA3(20); CCL2(17); CASP3(15); JUN(15),moderate
camptothecin,1.11,31.878740951482598,KDM5A(26); GATA3(20); CCL2(17); CASP3(15); JUN(15),moderate
gemcitabine,10.0,31.302415610215384,KDM5A(26); GATA3(20); CCL2(17); CASP3(15); JUN(15),moderate
GDC-0941,10.0,29.68060079030686,KDM5A(26); GATA3(20); CCL2(17); CASP3(15); JUN(15),low
staurosporine,10.0,29.577858608488654,KDM5A(26); GATA3(20); CCL2(17); CASP3(15); JUN(15),low
SN-38,1.11,26.57452897642466,KDM5A(26); GATA3(20); CCL2(17); CASP3(15); JUN(15),low
tanespimycin,10.0,25.941536188381857,KDM5A(26); GATA3(20); CCL2(17); CASP3(15); JUN(15),low
nutlin-3,10.0,25.443821009442328,KDM5A(26); GATA3(20); CCL2(17); CASP3(15); JUN(15),low
topotecan,1.11,23.60525869286269,KDM5A(26); GATA3(20); CCL2(17); CASP3(15); JUN(15),low
lapatinib,10.0,22.954553732355745,KDM5A(26); GATA3(20); CCL2(17); CASP3(15); JUN(15),low
