drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.50257933233648,RB1(29); EGR1(27); CCL2(20); SRC(19); HDAC2(18),high
docetaxel,10.0,60.07585098369271,RB1(29); EGR1(27); CCL2(20); SRC(19); HDAC2(18),high
vinorelbine,10.0,52.54398984602181,RB1(29); EGR1(27); CCL2(20); SRC(19); HDAC2(18),high
vinblastine,10.0,48.05182684522888,RB1(29); EGR1(27); CCL2(20); SRC(19); HDAC2(18),moderate
temsirolimus,10.0,45.01197155716434,RB1(29); EGR1(27); CCL2(20); SRC(19); HDAC2(18),moderate
methotrexate,10.0,44.46827766583752,RB1(29); EGR1(27); CCL2(20); SRC(19); HDAC2(18),moderate
MG-132,10.0,34.198270993611274,RB1(29); EGR1(27); CCL2(20); SRC(19); HDAC2(18),moderate
lestaurtinib,10.0,31.188071669844028,RB1(29); EGR1(27); CCL2(20); SRC(19); HDAC2(18),moderate
navitoclax,10.0,29.878544074957613,RB1(29); EGR1(27); CCL2(20); SRC(19); HDAC2(18),low
lapatinib,10.0,27.726462653969666,RB1(29); EGR1(27); CCL2(20); SRC(19); HDAC2(18),low
bortezomib,10.0,27.091293789095868,RB1(29); EGR1(27); CCL2(20); SRC(19); HDAC2(18),low
ABT-737,10.0,25.947813040941895,RB1(29); EGR1(27); CCL2(20); SRC(19); HDAC2(18),low
AZD-6482,10.0,24.613899965457783,RB1(29); EGR1(27); CCL2(20); SRC(19); HDAC2(18),low
staurosporine,10.0,24.303754020929233,RB1(29); EGR1(27); CCL2(20); SRC(19); HDAC2(18),low
foretinib,10.0,23.235959522708082,RB1(29); EGR1(27); CCL2(20); SRC(19); HDAC2(18),low
MK-1775,10.0,23.041473647787218,RB1(29); EGR1(27); CCL2(20); SRC(19); HDAC2(18),low
gemcitabine,10.0,20.742463555668085,RB1(29); EGR1(27); CCL2(20); SRC(19); HDAC2(18),low
epirubicin,10.0,20.49296741979609,RB1(29); EGR1(27); CCL2(20); SRC(19); HDAC2(18),low
sorafenib,10.0,18.946060564990923,RB1(29); EGR1(27); CCL2(20); SRC(19); HDAC2(18),low
nilotinib,10.0,16.855499833140463,RB1(29); EGR1(27); CCL2(20); SRC(19); HDAC2(18),low
