drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.3517308910181,CHEK1(20); CCND1(16); CASP3(16); CCL2(15); ABL1(13),high
docetaxel,10.0,59.92500254237433,CHEK1(20); CCND1(16); CASP3(16); CCL2(15); ABL1(13),high
vinorelbine,10.0,52.393141404703435,CHEK1(20); CCND1(16); CASP3(16); CCL2(15); ABL1(13),high
vinblastine,10.0,47.90097840391051,CHEK1(20); CCND1(16); CASP3(16); CCL2(15); ABL1(13),moderate
methotrexate,10.0,43.77059971748812,CHEK1(20); CCND1(16); CASP3(16); CCL2(15); ABL1(13),moderate
temsirolimus,10.0,42.738334511563124,CHEK1(20); CCND1(16); CASP3(16); CCL2(15); ABL1(13),moderate
MG-132,10.0,33.500593045261866,CHEK1(20); CCND1(16); CASP3(16); CCL2(15); ABL1(13),moderate
lestaurtinib,10.0,28.969073871839242,CHEK1(20); CCND1(16); CASP3(16); CCL2(15); ABL1(13),low
navitoclax,10.0,27.762934303188654,CHEK1(20); CCND1(16); CASP3(16); CCL2(15); ABL1(13),low
lapatinib,10.0,27.083423953216727,CHEK1(20); CCND1(16); CASP3(16); CCL2(15); ABL1(13),low
bortezomib,10.0,26.393615840746453,CHEK1(20); CCND1(16); CASP3(16); CCL2(15); ABL1(13),low
AZD-6482,10.0,23.91622201710836,CHEK1(20); CCND1(16); CASP3(16); CCL2(15); ABL1(13),low
ABT-737,10.0,23.83220326917293,CHEK1(20); CCND1(16); CASP3(16); CCL2(15); ABL1(13),low
foretinib,10.0,23.08511108138968,CHEK1(20); CCND1(16); CASP3(16); CCL2(15); ABL1(13),low
MK-1775,10.0,22.343795699437802,CHEK1(20); CCND1(16); CASP3(16); CCL2(15); ABL1(13),low
staurosporine,10.0,22.03011697532802,CHEK1(20); CCND1(16); CASP3(16); CCL2(15); ABL1(13),low
gemcitabine,10.0,20.044785607318662,CHEK1(20); CCND1(16); CASP3(16); CCL2(15); ABL1(13),low
sorafenib,10.0,19.181028692398883,CHEK1(20); CCND1(16); CASP3(16); CCL2(15); ABL1(13),low
epirubicin,10.0,18.219330374194886,CHEK1(20); CCND1(16); CASP3(16); CCL2(15); ABL1(13),low
nilotinib,10.0,16.70465139182207,CHEK1(20); CCND1(16); CASP3(16); CCL2(15); ABL1(13),low
