drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,KDM5A(21); PPARG(20); CASP3(15); JUN(10); AKT1(10),very_high
sirolimus,1.11,99.63460674554756,KDM5A(21); PPARG(20); CASP3(15); JUN(10); AKT1(10),very_high
docetaxel,1.11,66.80212274569612,KDM5A(21); PPARG(20); CASP3(15); JUN(10); AKT1(10),high
paclitaxel,10.0,66.10635662409952,KDM5A(21); PPARG(20); CASP3(15); JUN(10); AKT1(10),high
vinorelbine,10.0,49.916890031324456,KDM5A(21); PPARG(20); CASP3(15); JUN(10); AKT1(10),moderate
vinblastine,10.0,48.523528722420174,KDM5A(21); PPARG(20); CASP3(15); JUN(10); AKT1(10),moderate
NVP-BEZ235,10.0,34.090724803252755,KDM5A(21); PPARG(20); CASP3(15); JUN(10); AKT1(10),moderate
NVP-AUY922,1.11,34.0182738815767,KDM5A(21); PPARG(20); CASP3(15); JUN(10); AKT1(10),moderate
lestaurtinib,10.0,33.21577142211438,KDM5A(21); PPARG(20); CASP3(15); JUN(10); AKT1(10),moderate
methotrexate,10.0,32.92313516136314,KDM5A(21); PPARG(20); CASP3(15); JUN(10); AKT1(10),moderate
epirubicin,10.0,31.517744774879358,KDM5A(21); PPARG(20); CASP3(15); JUN(10); AKT1(10),moderate
camptothecin,1.11,30.671667442214694,KDM5A(21); PPARG(20); CASP3(15); JUN(10); AKT1(10),moderate
gemcitabine,10.0,30.23874184851221,KDM5A(21); PPARG(20); CASP3(15); JUN(10); AKT1(10),moderate
GDC-0941,10.0,28.497353376634596,KDM5A(21); PPARG(20); CASP3(15); JUN(10); AKT1(10),low
staurosporine,10.0,28.364658900991294,KDM5A(21); PPARG(20); CASP3(15); JUN(10); AKT1(10),low
SN-38,1.11,25.36745546715679,KDM5A(21); PPARG(20); CASP3(15); JUN(10); AKT1(10),low
tanespimycin,10.0,25.323583072652955,KDM5A(21); PPARG(20); CASP3(15); JUN(10); AKT1(10),low
nutlin-3,10.0,24.260573595770065,KDM5A(21); PPARG(20); CASP3(15); JUN(10); AKT1(10),low
topotecan,1.11,22.398185183594816,KDM5A(21); PPARG(20); CASP3(15); JUN(10); AKT1(10),low
navitoclax,10.0,21.66116808352195,KDM5A(21); PPARG(20); CASP3(15); JUN(10); AKT1(10),low
