drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
sirolimus,0.37,100.0,JUN(24); EGR1(17); HSPB1(14); RB1(13); CCL2(12),very_high
temsirolimus,0.04,100.0,JUN(24); EGR1(17); HSPB1(14); RB1(13); CCL2(12),very_high
docetaxel,1.11,68.00689567029453,JUN(24); EGR1(17); HSPB1(14); RB1(13); CCL2(12),high
paclitaxel,10.0,67.67500605176367,JUN(24); EGR1(17); HSPB1(14); RB1(13); CCL2(12),high
vinorelbine,10.0,52.12776519414657,JUN(24); EGR1(17); HSPB1(14); RB1(13); CCL2(12),high
vinblastine,10.0,50.73440388524229,JUN(24); EGR1(17); HSPB1(14); RB1(13); CCL2(12),high
NVP-BEZ235,10.0,36.93753779257098,JUN(24); EGR1(17); HSPB1(14); RB1(13); CCL2(12),moderate
NVP-AUY922,1.11,35.625909134152764,JUN(24); EGR1(17); HSPB1(14); RB1(13); CCL2(12),moderate
methotrexate,10.0,35.62427118071378,JUN(24); EGR1(17); HSPB1(14); RB1(13); CCL2(12),moderate
lestaurtinib,10.0,35.43015620255029,JUN(24); EGR1(17); HSPB1(14); RB1(13); CCL2(12),moderate
epirubicin,10.0,33.57795095644862,JUN(24); EGR1(17); HSPB1(14); RB1(13); CCL2(12),moderate
gemcitabine,10.0,32.65603769878042,JUN(24); EGR1(17); HSPB1(14); RB1(13); CCL2(12),moderate
camptothecin,1.11,32.27930269479087,JUN(24); EGR1(17); HSPB1(14); RB1(13); CCL2(12),moderate
staurosporine,10.0,31.80671848207802,JUN(24); EGR1(17); HSPB1(14); RB1(13); CCL2(12),moderate
GDC-0941,10.0,30.470979844529168,JUN(24); EGR1(17); HSPB1(14); RB1(13); CCL2(12),moderate
tanespimycin,10.0,28.17039606197117,JUN(24); EGR1(17); HSPB1(14); RB1(13); CCL2(12),low
nutlin-3,10.0,27.10738658508829,JUN(24); EGR1(17); HSPB1(14); RB1(13); CCL2(12),low
SN-38,1.11,26.975090719732858,JUN(24); EGR1(17); HSPB1(14); RB1(13); CCL2(12),low
lapatinib,10.0,24.618119308001706,JUN(24); EGR1(17); HSPB1(14); RB1(13); CCL2(12),low
navitoclax,10.0,24.525470667616762,JUN(24); EGR1(17); HSPB1(14); RB1(13); CCL2(12),low
