drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.99781341161837,CCL2(24); EGR1(20); KDM5A(19); SRC(12); AKT1(12),high
docetaxel,10.0,59.571085062974575,CCL2(24); EGR1(20); KDM5A(19); SRC(12); AKT1(12),high
vinorelbine,10.0,52.222181853877714,CCL2(24); EGR1(20); KDM5A(19); SRC(12); AKT1(12),high
vinblastine,10.0,47.73001885308478,CCL2(24); EGR1(20); KDM5A(19); SRC(12); AKT1(12),moderate
methotrexate,10.0,44.55969661442971,CCL2(24); EGR1(20); KDM5A(19); SRC(12); AKT1(12),moderate
temsirolimus,10.0,43.83411601711728,CCL2(24); EGR1(20); KDM5A(19); SRC(12); AKT1(12),moderate
MG-132,10.0,33.876463001467165,CCL2(24); EGR1(20); KDM5A(19); SRC(12); AKT1(12),moderate
lestaurtinib,10.0,29.62579504317327,CCL2(24); EGR1(20); KDM5A(19); SRC(12); AKT1(12),low
navitoclax,10.0,27.898627581211013,CCL2(24); EGR1(20); KDM5A(19); SRC(12); AKT1(12),low
lapatinib,10.0,27.61077711181608,CCL2(24); EGR1(20); KDM5A(19); SRC(12); AKT1(12),low
bortezomib,10.0,26.769485796951752,CCL2(24); EGR1(20); KDM5A(19); SRC(12); AKT1(12),low
AZD-6482,10.0,24.42959050992174,CCL2(24); EGR1(20); KDM5A(19); SRC(12); AKT1(12),low
ABT-737,10.0,23.967896547195295,CCL2(24); EGR1(20); KDM5A(19); SRC(12); AKT1(12),low
staurosporine,10.0,22.686838146662062,CCL2(24); EGR1(20); KDM5A(19); SRC(12); AKT1(12),low
MK-1775,10.0,22.536707727069086,CCL2(24); EGR1(20); KDM5A(19); SRC(12); AKT1(12),low
foretinib,10.0,22.393123637252284,CCL2(24); EGR1(20); KDM5A(19); SRC(12); AKT1(12),low
gemcitabine,10.0,20.833882504260256,CCL2(24); EGR1(20); KDM5A(19); SRC(12); AKT1(12),low
sorafenib,10.0,19.01006914157316,CCL2(24); EGR1(20); KDM5A(19); SRC(12); AKT1(12),low
epirubicin,10.0,18.87605154552892,CCL2(24); EGR1(20); KDM5A(19); SRC(12); AKT1(12),low
pevonedistat,10.0,16.660322617067543,CCL2(24); EGR1(20); KDM5A(19); SRC(12); AKT1(12),low
