drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,73.15290226481896,CCL2(33); EGR1(30); RB1(29); CASP3(11); PPARG(10),very_high
docetaxel,10.0,63.7261739161751,CCL2(33); EGR1(30); RB1(29); CASP3(11); PPARG(10),high
vinorelbine,10.0,55.80262553549416,CCL2(33); EGR1(30); RB1(29); CASP3(11); PPARG(10),high
vinblastine,10.0,51.51986590120985,CCL2(33); EGR1(30); RB1(29); CASP3(11); PPARG(10),high
methotrexate,10.0,47.793844677894015,CCL2(33); EGR1(30); RB1(29); CASP3(11); PPARG(10),moderate
temsirolimus,10.0,47.06449792463456,CCL2(33); EGR1(30); RB1(29); CASP3(11); PPARG(10),moderate
MG-132,10.0,38.46497203161016,CCL2(33); EGR1(30); RB1(29); CASP3(11); PPARG(10),moderate
lestaurtinib,10.0,35.13609539135067,CCL2(33); EGR1(30); RB1(29); CASP3(11); PPARG(10),moderate
lapatinib,10.0,32.53120933175283,CCL2(33); EGR1(30); RB1(29); CASP3(11); PPARG(10),moderate
navitoclax,10.0,32.26824937667764,CCL2(33); EGR1(30); RB1(29); CASP3(11); PPARG(10),moderate
bortezomib,10.0,31.55706293160989,CCL2(33); EGR1(30); RB1(29); CASP3(11); PPARG(10),moderate
staurosporine,10.0,28.478254784733448,CCL2(33); EGR1(30); RB1(29); CASP3(11); PPARG(10),low
AZD-6482,10.0,28.390664454485417,CCL2(33); EGR1(30); RB1(29); CASP3(11); PPARG(10),low
ABT-737,10.0,28.337518342661912,CCL2(33); EGR1(30); RB1(29); CASP3(11); PPARG(10),low
foretinib,10.0,27.19190581957436,CCL2(33); EGR1(30); RB1(29); CASP3(11); PPARG(10),low
MK-1775,10.0,26.73505038817085,CCL2(33); EGR1(30); RB1(29); CASP3(11); PPARG(10),low
gemcitabine,10.0,25.35558046719261,CCL2(33); EGR1(30); RB1(29); CASP3(11); PPARG(10),low
epirubicin,10.0,24.6706901813789,CCL2(33); EGR1(30); RB1(29); CASP3(11); PPARG(10),low
sorafenib,10.0,23.809050856468946,CCL2(33); EGR1(30); RB1(29); CASP3(11); PPARG(10),low
nilotinib,10.0,21.55592294375457,CCL2(33); EGR1(30); RB1(29); CASP3(11); PPARG(10),low
