drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,JUN(40); CHEK1(25); RB1(24); PMAIP1(13); PPARG(12),very_high
sirolimus,0.04,100.0,JUN(40); CHEK1(25); RB1(24); PMAIP1(13); PPARG(12),very_high
docetaxel,1.11,67.8761599512149,JUN(40); CHEK1(25); RB1(24); PMAIP1(13); PPARG(12),high
paclitaxel,10.0,67.54427033268405,JUN(40); CHEK1(25); RB1(24); PMAIP1(13); PPARG(12),high
vinorelbine,10.0,52.04793158671599,JUN(40); CHEK1(25); RB1(24); PMAIP1(13); PPARG(12),high
vinblastine,10.0,50.654570277811715,JUN(40); CHEK1(25); RB1(24); PMAIP1(13); PPARG(12),high
NVP-BEZ235,10.0,36.54924968381996,JUN(40); CHEK1(25); RB1(24); PMAIP1(13); PPARG(12),moderate
NVP-AUY922,1.11,35.98971261441466,JUN(40); CHEK1(25); RB1(24); PMAIP1(13); PPARG(12),moderate
lestaurtinib,10.0,35.67429630268158,JUN(40); CHEK1(25); RB1(24); PMAIP1(13); PPARG(12),moderate
methotrexate,10.0,35.49448992685967,JUN(40); CHEK1(25); RB1(24); PMAIP1(13); PPARG(12),moderate
epirubicin,10.0,33.952202108939275,JUN(40); CHEK1(25); RB1(24); PMAIP1(13); PPARG(12),moderate
gemcitabine,10.0,32.39786064238874,JUN(40); CHEK1(25); RB1(24); PMAIP1(13); PPARG(12),moderate
camptothecin,1.11,32.322719168667405,JUN(40); CHEK1(25); RB1(24); PMAIP1(13); PPARG(12),moderate
staurosporine,10.0,31.401149205896928,JUN(40); CHEK1(25); RB1(24); PMAIP1(13); PPARG(12),moderate
GDC-0941,10.0,30.845230997019847,JUN(40); CHEK1(25); RB1(24); PMAIP1(13); PPARG(12),moderate
tanespimycin,10.0,27.875202238279243,JUN(40); CHEK1(25); RB1(24); PMAIP1(13); PPARG(12),low
SN-38,1.11,27.349341872223537,JUN(40); CHEK1(25); RB1(24); PMAIP1(13); PPARG(12),low
nutlin-3,10.0,26.805140912248973,JUN(40); CHEK1(25); RB1(24); PMAIP1(13); PPARG(12),low
navitoclax,10.0,24.330554284983158,JUN(40); CHEK1(25); RB1(24); PMAIP1(13); PPARG(12),low
topotecan,1.11,24.049236910047473,JUN(40); CHEK1(25); RB1(24); PMAIP1(13); PPARG(12),low
