drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,72.24409878328494,CCL2(32); CDKN1B(31); PPARG(31); EGR1(21); SRC(18),very_high
docetaxel,10.0,62.817370434641106,CCL2(32); CDKN1B(31); PPARG(31); EGR1(21); SRC(18),high
vinorelbine,10.0,54.62112818405866,CCL2(32); CDKN1B(31); PPARG(31); EGR1(21); SRC(18),high
vinblastine,10.0,50.33836854977435,CCL2(32); CDKN1B(31); PPARG(31); EGR1(21); SRC(18),high
methotrexate,10.0,47.18327772509274,CCL2(32); CDKN1B(31); PPARG(31); EGR1(21); SRC(18),moderate
temsirolimus,10.0,46.29676048173494,CCL2(32); CDKN1B(31); PPARG(31); EGR1(21); SRC(18),moderate
MG-132,10.0,37.90206582573128,CCL2(32); CDKN1B(31); PPARG(31); EGR1(21); SRC(18),moderate
lestaurtinib,10.0,33.615465104238325,CCL2(32); CDKN1B(31); PPARG(31); EGR1(21); SRC(18),moderate
lapatinib,10.0,32.16563667568245,CCL2(32); CDKN1B(31); PPARG(31); EGR1(21); SRC(18),moderate
bortezomib,10.0,31.040007073145496,CCL2(32); CDKN1B(31); PPARG(31); EGR1(21); SRC(18),moderate
navitoclax,10.0,30.747619089565312,CCL2(32); CDKN1B(31); PPARG(31); EGR1(21); SRC(18),moderate
AZD-6482,10.0,28.023694881535395,CCL2(32); CDKN1B(31); PPARG(31); EGR1(21); SRC(18),low
staurosporine,10.0,26.95762449762113,CCL2(32); CDKN1B(31); PPARG(31); EGR1(21); SRC(18),low
ABT-737,10.0,26.816888055549587,CCL2(32); CDKN1B(31); PPARG(31); EGR1(21); SRC(18),low
MK-1775,10.0,26.490688399607897,CCL2(32); CDKN1B(31); PPARG(31); EGR1(21); SRC(18),low
foretinib,10.0,26.370091325545943,CCL2(32); CDKN1B(31); PPARG(31); EGR1(21); SRC(18),low
gemcitabine,10.0,25.2517515494645,CCL2(32); CDKN1B(31); PPARG(31); EGR1(21); SRC(18),low
epirubicin,10.0,23.150059894266583,CCL2(32); CDKN1B(31); PPARG(31); EGR1(21); SRC(18),low
sorafenib,10.0,22.67340385244793,CCL2(32); CDKN1B(31); PPARG(31); EGR1(21); SRC(18),low
tanespimycin,10.0,20.73086924843912,CCL2(32); CDKN1B(31); PPARG(31); EGR1(21); SRC(18),low
