drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.3020299539429,PPARG(16); CDK4(13); RB1(12); PMAIP1(12); CCL2(9),high
docetaxel,10.0,59.875301605299136,PPARG(16); CDK4(13); RB1(12); PMAIP1(12); CCL2(9),high
vinorelbine,10.0,52.19335418211387,PPARG(16); CDK4(13); RB1(12); PMAIP1(12); CCL2(9),high
vinblastine,10.0,47.701191181320944,PPARG(16); CDK4(13); RB1(12); PMAIP1(12); CCL2(9),moderate
methotrexate,10.0,43.92929012731929,PPARG(16); CDK4(13); RB1(12); PMAIP1(12); CCL2(9),moderate
temsirolimus,10.0,42.92285831487813,PPARG(16); CDK4(13); RB1(12); PMAIP1(12); CCL2(9),moderate
MG-132,10.0,33.246056514356745,PPARG(16); CDK4(13); RB1(12); PMAIP1(12); CCL2(9),moderate
lestaurtinib,10.0,28.714537340934104,PPARG(16); CDK4(13); RB1(12); PMAIP1(12); CCL2(9),low
navitoclax,10.0,27.508397772283523,PPARG(16); CDK4(13); RB1(12); PMAIP1(12); CCL2(9),low
lapatinib,10.0,26.980370624705635,PPARG(16); CDK4(13); RB1(12); PMAIP1(12); CCL2(9),low
bortezomib,10.0,26.139079309841307,PPARG(16); CDK4(13); RB1(12); PMAIP1(12); CCL2(9),low
AZD-6482,10.0,23.799184022811296,PPARG(16); CDK4(13); RB1(12); PMAIP1(12); CCL2(9),low
ABT-737,10.0,23.577666738267798,PPARG(16); CDK4(13); RB1(12); PMAIP1(12); CCL2(9),low
foretinib,10.0,22.8853238588001,PPARG(16); CDK4(13); RB1(12); PMAIP1(12); CCL2(9),low
MK-1775,10.0,22.239345454047044,PPARG(16); CDK4(13); RB1(12); PMAIP1(12); CCL2(9),low
staurosporine,10.0,21.77558044442289,PPARG(16); CDK4(13); RB1(12); PMAIP1(12); CCL2(9),low
gemcitabine,10.0,20.203476017149818,PPARG(16); CDK4(13); RB1(12); PMAIP1(12); CCL2(9),low
sorafenib,10.0,18.9812414698093,PPARG(16); CDK4(13); RB1(12); PMAIP1(12); CCL2(9),low
epirubicin,10.0,17.964793843289748,PPARG(16); CDK4(13); RB1(12); PMAIP1(12); CCL2(9),low
nilotinib,10.0,16.504864169232487,PPARG(16); CDK4(13); RB1(12); PMAIP1(12); CCL2(9),low
