drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,RB1(26); PPARG(26); HDAC6(23); PMAIP1(22); EGR1(21),very_high
sirolimus,1.11,99.73292146508517,RB1(26); PPARG(26); HDAC6(23); PMAIP1(22); EGR1(21),very_high
docetaxel,1.11,66.87134299128373,RB1(26); PPARG(26); HDAC6(23); PMAIP1(22); EGR1(21),high
paclitaxel,10.0,66.17557686968712,RB1(26); PPARG(26); HDAC6(23); PMAIP1(22); EGR1(21),high
vinorelbine,10.0,49.96188113881071,RB1(26); PPARG(26); HDAC6(23); PMAIP1(22); EGR1(21),moderate
vinblastine,10.0,48.56851982990643,RB1(26); PPARG(26); HDAC6(23); PMAIP1(22); EGR1(21),moderate
NVP-BEZ235,10.0,35.05843615562608,RB1(26); PPARG(26); HDAC6(23); PMAIP1(22); EGR1(21),moderate
NVP-AUY922,1.11,34.07360810187806,RB1(26); PPARG(26); HDAC6(23); PMAIP1(22); EGR1(21),moderate
methotrexate,10.0,33.185906444417,RB1(26); PPARG(26); HDAC6(23); PMAIP1(22); EGR1(21),moderate
lestaurtinib,10.0,33.151442262285144,RB1(26); PPARG(26); HDAC6(23); PMAIP1(22); EGR1(21),moderate
epirubicin,10.0,31.429348068542772,RB1(26); PPARG(26); HDAC6(23); PMAIP1(22); EGR1(21),moderate
gemcitabine,10.0,31.203105174865776,RB1(26); PPARG(26); HDAC6(23); PMAIP1(22); EGR1(21),moderate
camptothecin,1.11,30.763148666551086,RB1(26); PPARG(26); HDAC6(23); PMAIP1(22); EGR1(21),moderate
staurosporine,10.0,29.91033567770305,RB1(26); PPARG(26); HDAC6(23); PMAIP1(22); EGR1(21),low
GDC-0941,10.0,28.563135269164725,RB1(26); PPARG(26); HDAC6(23); PMAIP1(22); EGR1(21),low
tanespimycin,10.0,26.40412430995559,RB1(26); PPARG(26); HDAC6(23); PMAIP1(22); EGR1(21),low
SN-38,1.11,25.458936691493168,RB1(26); PPARG(26); HDAC6(23); PMAIP1(22); EGR1(21),low
nutlin-3,10.0,25.365229495704064,RB1(26); PPARG(26); HDAC6(23); PMAIP1(22); EGR1(21),low
lapatinib,10.0,23.281100064346234,RB1(26); PPARG(26); HDAC6(23); PMAIP1(22); EGR1(21),low
navitoclax,10.0,22.762428841312175,RB1(26); PPARG(26); HDAC6(23); PMAIP1(22); EGR1(21),low
