drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,GATA3(32); JUN(23); CCL2(21); KDM5A(21); CHEK1(19),very_high
sirolimus,1.11,100.0,GATA3(32); JUN(23); CCL2(21); KDM5A(21); CHEK1(19),very_high
docetaxel,1.11,67.88766365324113,GATA3(32); JUN(23); CCL2(21); KDM5A(21); CHEK1(19),high
paclitaxel,10.0,67.19189753164453,GATA3(32); JUN(23); CCL2(21); KDM5A(21); CHEK1(19),high
vinorelbine,10.0,50.96691659090373,GATA3(32); JUN(23); CCL2(21); KDM5A(21); CHEK1(19),high
vinblastine,10.0,49.57355528199945,GATA3(32); JUN(23); CCL2(21); KDM5A(21); CHEK1(19),moderate
NVP-BEZ235,10.0,35.155546190310126,GATA3(32); JUN(23); CCL2(21); KDM5A(21); CHEK1(19),moderate
NVP-AUY922,1.11,34.51780097069071,GATA3(32); JUN(23); CCL2(21); KDM5A(21); CHEK1(19),moderate
lestaurtinib,10.0,34.29447823558179,GATA3(32); JUN(23); CCL2(21); KDM5A(21); CHEK1(19),moderate
methotrexate,10.0,33.98795654842052,GATA3(32); JUN(23); CCL2(21); KDM5A(21); CHEK1(19),moderate
epirubicin,10.0,32.59645158834678,GATA3(32); JUN(23); CCL2(21); KDM5A(21); CHEK1(19),moderate
camptothecin,1.11,31.760314924867764,GATA3(32); JUN(23); CCL2(21); KDM5A(21); CHEK1(19),moderate
gemcitabine,10.0,31.33816818246723,GATA3(32); JUN(23); CCL2(21); KDM5A(21); CHEK1(19),moderate
GDC-0941,10.0,29.61747451182159,GATA3(32); JUN(23); CCL2(21); KDM5A(21); CHEK1(19),low
staurosporine,10.0,29.45943258187379,GATA3(32); JUN(23); CCL2(21); KDM5A(21); CHEK1(19),low
SN-38,1.11,26.456102949809797,GATA3(32); JUN(23); CCL2(21); KDM5A(21); CHEK1(19),low
tanespimycin,10.0,25.823110161766987,GATA3(32); JUN(23); CCL2(21); KDM5A(21); CHEK1(19),low
nutlin-3,10.0,25.325394982827465,GATA3(32); JUN(23); CCL2(21); KDM5A(21); CHEK1(19),low
topotecan,1.11,23.48683266624782,GATA3(32); JUN(23); CCL2(21); KDM5A(21); CHEK1(19),low
lapatinib,10.0,22.836127705740882,GATA3(32); JUN(23); CCL2(21); KDM5A(21); CHEK1(19),low
