drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,KDM5A(20); AXIN1(15); IKBKB(15); HDAC2(12); GATA3(11),very_high
sirolimus,1.11,98.97941479517978,KDM5A(20); AXIN1(15); IKBKB(15); HDAC2(12); GATA3(11),very_high
docetaxel,1.11,66.15485308867862,KDM5A(20); AXIN1(15); IKBKB(15); HDAC2(12); GATA3(11),high
paclitaxel,10.0,65.45908696708202,KDM5A(20); AXIN1(15); IKBKB(15); HDAC2(12); GATA3(11),high
vinorelbine,10.0,49.28149852037641,KDM5A(20); AXIN1(15); IKBKB(15); HDAC2(12); GATA3(11),moderate
vinblastine,10.0,47.88813721147213,KDM5A(20); AXIN1(15); IKBKB(15); HDAC2(12); GATA3(11),moderate
NVP-BEZ235,10.0,33.47363773739661,KDM5A(20); AXIN1(15); IKBKB(15); HDAC2(12); GATA3(11),moderate
NVP-AUY922,1.11,33.408020310921856,KDM5A(20); AXIN1(15); IKBKB(15); HDAC2(12); GATA3(11),moderate
lestaurtinib,10.0,32.59868435625823,KDM5A(20); AXIN1(15); IKBKB(15); HDAC2(12); GATA3(11),moderate
methotrexate,10.0,32.30604809550697,KDM5A(20); AXIN1(15); IKBKB(15); HDAC2(12); GATA3(11),moderate
epirubicin,10.0,30.900657709023253,KDM5A(20); AXIN1(15); IKBKB(15); HDAC2(12); GATA3(11),moderate
camptothecin,1.11,30.08027970816483,KDM5A(20); AXIN1(15); IKBKB(15); HDAC2(12); GATA3(11),moderate
gemcitabine,10.0,29.642374303143686,KDM5A(20); AXIN1(15); IKBKB(15); HDAC2(12); GATA3(11),low
staurosporine,10.0,28.342818426903648,KDM5A(20); AXIN1(15); IKBKB(15); HDAC2(12); GATA3(11),low
GDC-0941,10.0,27.88026631077849,KDM5A(20); AXIN1(15); IKBKB(15); HDAC2(12); GATA3(11),low
SN-38,1.11,24.776067733106935,KDM5A(20); AXIN1(15); IKBKB(15); HDAC2(12); GATA3(11),low
tanespimycin,10.0,24.686760406926602,KDM5A(20); AXIN1(15); IKBKB(15); HDAC2(12); GATA3(11),low
nutlin-3,10.0,23.599417913466283,KDM5A(20); AXIN1(15); IKBKB(15); HDAC2(12); GATA3(11),low
topotecan,1.11,21.80679744954496,KDM5A(20); AXIN1(15); IKBKB(15); HDAC2(12); GATA3(11),low
lapatinib,10.0,21.583471761187493,KDM5A(20); AXIN1(15); IKBKB(15); HDAC2(12); GATA3(11),low
