drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.1748985141192,CCL2(27); PPARG(21); CDK4(10); HDAC2(9); CHEK1(8),very_high
docetaxel,10.0,60.7481701654754,CCL2(27); PPARG(21); CDK4(10); HDAC2(9); CHEK1(8),high
vinorelbine,10.0,53.22103573778722,CCL2(27); PPARG(21); CDK4(10); HDAC2(9); CHEK1(8),high
vinblastine,10.0,48.72887273699429,CCL2(27); PPARG(21); CDK4(10); HDAC2(9); CHEK1(8),moderate
temsirolimus,10.0,45.1409048192851,CCL2(27); PPARG(21); CDK4(10); HDAC2(9); CHEK1(8),moderate
methotrexate,10.0,44.88521004446705,CCL2(27); PPARG(21); CDK4(10); HDAC2(9); CHEK1(8),moderate
MG-132,10.0,34.20197643150451,CCL2(27); PPARG(21); CDK4(10); HDAC2(9); CHEK1(8),moderate
lestaurtinib,10.0,31.191777107737263,CCL2(27); PPARG(21); CDK4(10); HDAC2(9); CHEK1(8),moderate
navitoclax,10.0,29.985637539086618,CCL2(27); PPARG(21); CDK4(10); HDAC2(9); CHEK1(8),low
lapatinib,10.0,27.88165129425694,CCL2(27); PPARG(21); CDK4(10); HDAC2(9); CHEK1(8),low
bortezomib,10.0,27.094999226989103,CCL2(27); PPARG(21); CDK4(10); HDAC2(9); CHEK1(8),low
ABT-737,10.0,26.054906505070893,CCL2(27); PPARG(21); CDK4(10); HDAC2(9); CHEK1(8),low
AZD-6482,10.0,24.72289852884907,CCL2(27); PPARG(21); CDK4(10); HDAC2(9); CHEK1(8),low
staurosporine,10.0,24.307459458822468,CCL2(27); PPARG(21); CDK4(10); HDAC2(9); CHEK1(8),low
foretinib,10.0,23.59917290448088,CCL2(27); PPARG(21); CDK4(10); HDAC2(9); CHEK1(8),low
MK-1775,10.0,23.040452375697747,CCL2(27); PPARG(21); CDK4(10); HDAC2(9); CHEK1(8),low
gemcitabine,10.0,21.159395934297606,CCL2(27); PPARG(21); CDK4(10); HDAC2(9); CHEK1(8),low
epirubicin,10.0,20.496672857689326,CCL2(27); PPARG(21); CDK4(10); HDAC2(9); CHEK1(8),low
sorafenib,10.0,19.954283777886193,CCL2(27); PPARG(21); CDK4(10); HDAC2(9); CHEK1(8),low
nilotinib,10.0,17.532545724905862,CCL2(27); PPARG(21); CDK4(10); HDAC2(9); CHEK1(8),low
