drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,RB1(29); CHEK1(28); KDM5A(25); CDKN1B(18); JUN(16),very_high
sirolimus,1.11,98.99358799887135,RB1(29); CHEK1(28); KDM5A(25); CDKN1B(18); JUN(16),very_high
docetaxel,1.11,66.20155911937773,RB1(29); CHEK1(28); KDM5A(25); CDKN1B(18); JUN(16),high
paclitaxel,10.0,65.50579299778113,RB1(29); CHEK1(28); KDM5A(25); CDKN1B(18); JUN(16),high
vinorelbine,10.0,49.34299937855375,RB1(29); CHEK1(28); KDM5A(25); CDKN1B(18); JUN(16),moderate
vinblastine,10.0,47.94963806964947,RB1(29); CHEK1(28); KDM5A(25); CDKN1B(18); JUN(16),moderate
NVP-BEZ235,10.0,34.02266092461881,RB1(29); CHEK1(28); KDM5A(25); CDKN1B(18); JUN(16),moderate
NVP-AUY922,1.11,33.44789284641979,RB1(29); CHEK1(28); KDM5A(25); CDKN1B(18); JUN(16),moderate
methotrexate,10.0,32.839505365120964,RB1(29); CHEK1(28); KDM5A(25); CDKN1B(18); JUN(16),moderate
lestaurtinib,10.0,32.51527933459813,RB1(29); CHEK1(28); KDM5A(25); CDKN1B(18); JUN(16),moderate
epirubicin,10.0,30.79318514085577,RB1(29); CHEK1(28); KDM5A(25); CDKN1B(18); JUN(16),moderate
gemcitabine,10.0,30.167329943858512,RB1(29); CHEK1(28); KDM5A(25); CDKN1B(18); JUN(16),moderate
camptothecin,1.11,30.101286407057835,RB1(29); CHEK1(28); KDM5A(25); CDKN1B(18); JUN(16),moderate
staurosporine,10.0,28.296595022357383,RB1(29); CHEK1(28); KDM5A(25); CDKN1B(18); JUN(16),low
GDC-0941,10.0,27.98227208960731,RB1(29); CHEK1(28); KDM5A(25); CDKN1B(18); JUN(16),low
tanespimycin,10.0,25.365894646508142,RB1(29); CHEK1(28); KDM5A(25); CDKN1B(18); JUN(16),low
SN-38,1.11,24.79707443199991,RB1(29); CHEK1(28); KDM5A(25); CDKN1B(18); JUN(16),low
nutlin-3,10.0,24.271718657846517,RB1(29); CHEK1(28); KDM5A(25); CDKN1B(18); JUN(16),low
navitoclax,10.0,21.890166178643515,RB1(29); CHEK1(28); KDM5A(25); CDKN1B(18); JUN(16),low
topotecan,1.11,21.82780414843794,RB1(29); CHEK1(28); KDM5A(25); CDKN1B(18); JUN(16),low
