drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,KDM5A(30); JUN(28); HSPB1(24); CHEK1(21); CASP3(21),very_high
sirolimus,1.11,99.62299119653795,KDM5A(30); JUN(28); HSPB1(24); CHEK1(21); CASP3(21),very_high
docetaxel,1.11,66.83096231704434,KDM5A(30); JUN(28); HSPB1(24); CHEK1(21); CASP3(21),high
paclitaxel,10.0,66.13519619544773,KDM5A(30); JUN(28); HSPB1(24); CHEK1(21); CASP3(21),high
vinorelbine,10.0,49.96111736635594,KDM5A(30); JUN(28); HSPB1(24); CHEK1(21); CASP3(21),moderate
vinblastine,10.0,48.56775605745166,KDM5A(30); JUN(28); HSPB1(24); CHEK1(21); CASP3(21),moderate
NVP-AUY922,1.11,34.07729604408628,KDM5A(30); JUN(28); HSPB1(24); CHEK1(21); CASP3(21),moderate
NVP-BEZ235,10.0,34.01963591340299,KDM5A(30); JUN(28); HSPB1(24); CHEK1(21); CASP3(21),moderate
lestaurtinib,10.0,33.14468253226462,KDM5A(30); JUN(28); HSPB1(24); CHEK1(21); CASP3(21),moderate
methotrexate,10.0,32.982157323872705,KDM5A(30); JUN(28); HSPB1(24); CHEK1(21); CASP3(21),moderate
epirubicin,10.0,31.57676693738899,KDM5A(30); JUN(28); HSPB1(24); CHEK1(21); CASP3(21),moderate
camptothecin,1.11,30.73068960472432,KDM5A(30); JUN(28); HSPB1(24); CHEK1(21); CASP3(21),moderate
gemcitabine,10.0,30.318483531509422,KDM5A(30); JUN(28); HSPB1(24); CHEK1(21); CASP3(21),moderate
staurosporine,10.0,28.888816602910037,KDM5A(30); JUN(28); HSPB1(24); CHEK1(21); CASP3(21),low
GDC-0941,10.0,28.556375539144227,KDM5A(30); JUN(28); HSPB1(24); CHEK1(21); CASP3(21),low
SN-38,1.11,25.426477629666422,KDM5A(30); JUN(28); HSPB1(24); CHEK1(21); CASP3(21),low
tanespimycin,10.0,25.362869635292338,KDM5A(30); JUN(28); HSPB1(24); CHEK1(21); CASP3(21),low
nutlin-3,10.0,24.268693646630712,KDM5A(30); JUN(28); HSPB1(24); CHEK1(21); CASP3(21),low
topotecan,1.11,22.457207346104447,KDM5A(30); JUN(28); HSPB1(24); CHEK1(21); CASP3(21),low
lapatinib,10.0,21.830328481193114,KDM5A(30); JUN(28); HSPB1(24); CHEK1(21); CASP3(21),low
