drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,99.95145238577538,KDM5A(16); AKT1(14); PPARG(14); CHEK1(11); CASP3(11),very_high
sirolimus,1.11,98.68665153595835,KDM5A(16); AKT1(14); PPARG(14); CHEK1(11); CASP3(11),very_high
docetaxel,1.11,65.87050799383339,KDM5A(16); AKT1(14); PPARG(14); CHEK1(11); CASP3(11),high
paclitaxel,10.0,65.17474187223678,KDM5A(16); AKT1(14); PPARG(14); CHEK1(11); CASP3(11),high
vinorelbine,10.0,49.00066304314501,KDM5A(16); AKT1(14); PPARG(14); CHEK1(11); CASP3(11),moderate
vinblastine,10.0,47.60730173424073,KDM5A(16); AKT1(14); PPARG(14); CHEK1(11); CASP3(11),moderate
NVP-AUY922,1.11,34.43842737578956,KDM5A(16); AKT1(14); PPARG(14); CHEK1(11); CASP3(11),moderate
methotrexate,10.0,33.74004572513531,KDM5A(16); AKT1(14); PPARG(14); CHEK1(11); CASP3(11),moderate
NVP-BEZ235,10.0,33.61016437474206,KDM5A(16); AKT1(14); PPARG(14); CHEK1(11); CASP3(11),moderate
lestaurtinib,10.0,32.33162042884309,KDM5A(16); AKT1(14); PPARG(14); CHEK1(11); CASP3(11),moderate
epirubicin,10.0,31.948345941320994,KDM5A(16); AKT1(14); PPARG(14); CHEK1(11); CASP3(11),moderate
camptothecin,1.11,31.102268608656345,KDM5A(16); AKT1(14); PPARG(14); CHEK1(11); CASP3(11),moderate
gemcitabine,10.0,31.093653100202047,KDM5A(16); AKT1(14); PPARG(14); CHEK1(11); CASP3(11),moderate
staurosporine,10.0,29.181569464763495,KDM5A(16); AKT1(14); PPARG(14); CHEK1(11); CASP3(11),low
GDC-0941,10.0,28.927954543076247,KDM5A(16); AKT1(14); PPARG(14); CHEK1(11); CASP3(11),low
tanespimycin,10.0,26.1207580365549,KDM5A(16); AKT1(14); PPARG(14); CHEK1(11); CASP3(11),low
SN-38,1.11,25.798056633598442,KDM5A(16); AKT1(14); PPARG(14); CHEK1(11); CASP3(11),low
nutlin-3,10.0,25.050696710524637,KDM5A(16); AKT1(14); PPARG(14); CHEK1(11); CASP3(11),low
topotecan,1.11,22.828786350036467,KDM5A(16); AKT1(14); PPARG(14); CHEK1(11); CASP3(11),low
navitoclax,10.0,22.498798167781725,KDM5A(16); AKT1(14); PPARG(14); CHEK1(11); CASP3(11),low
