drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.46622602762315,HMGCR(11); EGR1(9); HES1(7); KDM5A(7); RB1(6),high
docetaxel,10.0,60.039497678979394,HMGCR(11); EGR1(9); HES1(7); KDM5A(7); RB1(6),high
vinorelbine,10.0,52.38975566690415,HMGCR(11); EGR1(9); HES1(7); KDM5A(7); RB1(6),high
vinblastine,10.0,47.89759266611122,HMGCR(11); EGR1(9); HES1(7); KDM5A(7); RB1(6),moderate
methotrexate,10.0,44.251320751349965,HMGCR(11); EGR1(9); HES1(7); KDM5A(7); RB1(6),moderate
temsirolimus,10.0,43.31113589416398,HMGCR(11); EGR1(9); HES1(7); KDM5A(7); RB1(6),moderate
MG-132,10.0,33.613937485801884,HMGCR(11); EGR1(9); HES1(7); KDM5A(7); RB1(6),moderate
lestaurtinib,10.0,29.048175672623497,HMGCR(11); EGR1(9); HES1(7); KDM5A(7); RB1(6),low
navitoclax,10.0,27.821639496132196,HMGCR(11); EGR1(9); HES1(7); KDM5A(7); RB1(6),low
lapatinib,10.0,27.24776200113985,HMGCR(11); EGR1(9); HES1(7); KDM5A(7); RB1(6),low
bortezomib,10.0,26.461109933872013,HMGCR(11); EGR1(9); HES1(7); KDM5A(7); RB1(6),low
AZD-6482,10.0,24.08900923573198,HMGCR(11); EGR1(9); HES1(7); KDM5A(7); RB1(6),low
ABT-737,10.0,23.890908462116478,HMGCR(11); EGR1(9); HES1(7); KDM5A(7); RB1(6),low
foretinib,10.0,23.035874996175945,HMGCR(11); EGR1(9); HES1(7); KDM5A(7); RB1(6),low
MK-1775,10.0,22.529170666967726,HMGCR(11); EGR1(9); HES1(7); KDM5A(7); RB1(6),low
staurosporine,10.0,22.16385802370876,HMGCR(11); EGR1(9); HES1(7); KDM5A(7); RB1(6),low
gemcitabine,10.0,20.52550664118051,HMGCR(11); EGR1(9); HES1(7); KDM5A(7); RB1(6),low
sorafenib,10.0,19.077153359588657,HMGCR(11); EGR1(9); HES1(7); KDM5A(7); RB1(6),low
epirubicin,10.0,18.332674814734904,HMGCR(11); EGR1(9); HES1(7); KDM5A(7); RB1(6),low
nilotinib,10.0,16.655415306608326,HMGCR(11); EGR1(9); HES1(7); KDM5A(7); RB1(6),low
