drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,RB1(52); KDM5A(45); HES1(23); JUN(18); PIK3CA(18),very_high
sirolimus,1.11,99.30634105437694,RB1(52); KDM5A(45); HES1(23); JUN(18); PIK3CA(18),very_high
docetaxel,1.11,66.51431217488333,RB1(52); KDM5A(45); HES1(23); JUN(18); PIK3CA(18),high
paclitaxel,10.0,65.81854605328672,RB1(52); KDM5A(45); HES1(23); JUN(18); PIK3CA(18),high
vinorelbine,10.0,49.64446722419496,RB1(52); KDM5A(45); HES1(23); JUN(18); PIK3CA(18),moderate
vinblastine,10.0,48.25110591529068,RB1(52); KDM5A(45); HES1(23); JUN(18); PIK3CA(18),moderate
NVP-BEZ235,10.0,33.83309682360136,RB1(52); KDM5A(45); HES1(23); JUN(18); PIK3CA(18),moderate
NVP-AUY922,1.11,33.7606459019253,RB1(52); KDM5A(45); HES1(23); JUN(18); PIK3CA(18),moderate
lestaurtinib,10.0,32.95814344246298,RB1(52); KDM5A(45); HES1(23); JUN(18); PIK3CA(18),moderate
methotrexate,10.0,32.665507181711725,RB1(52); KDM5A(45); HES1(23); JUN(18); PIK3CA(18),moderate
epirubicin,10.0,31.260116795228,RB1(52); KDM5A(45); HES1(23); JUN(18); PIK3CA(18),moderate
camptothecin,1.11,30.41403946256333,RB1(52); KDM5A(45); HES1(23); JUN(18); PIK3CA(18),moderate
gemcitabine,10.0,30.001833389348434,RB1(52); KDM5A(45); HES1(23); JUN(18); PIK3CA(18),moderate
GDC-0941,10.0,28.295025145112835,RB1(52); KDM5A(45); HES1(23); JUN(18); PIK3CA(18),low
staurosporine,10.0,28.107030921339938,RB1(52); KDM5A(45); HES1(23); JUN(18); PIK3CA(18),low
SN-38,1.11,25.109827487505434,RB1(52); KDM5A(45); HES1(23); JUN(18); PIK3CA(18),low
tanespimycin,10.0,25.04621949313135,RB1(52); KDM5A(45); HES1(23); JUN(18); PIK3CA(18),low
nutlin-3,10.0,23.952043504469724,RB1(52); KDM5A(45); HES1(23); JUN(18); PIK3CA(18),low
topotecan,1.11,22.14055720394346,RB1(52); KDM5A(45); HES1(23); JUN(18); PIK3CA(18),low
navitoclax,10.0,21.42102969864719,RB1(52); KDM5A(45); HES1(23); JUN(18); PIK3CA(18),low
