drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.60479106217292,CCL2(27); RB1(23); SRC(21); HSPA1A(20); PMAIP1(15),high
docetaxel,10.0,60.17806271352914,CCL2(27); RB1(23); SRC(21); HSPA1A(20); PMAIP1(15),high
vinorelbine,10.0,53.011451201056666,CCL2(27); RB1(23); SRC(21); HSPA1A(20); PMAIP1(15),high
vinblastine,10.0,48.51928820026373,CCL2(27); RB1(23); SRC(21); HSPA1A(20); PMAIP1(15),moderate
methotrexate,10.0,44.343059166426876,CCL2(27); RB1(23); SRC(21); HSPA1A(20); PMAIP1(15),moderate
temsirolimus,10.0,43.6578921308858,CCL2(27); RB1(23); SRC(21); HSPA1A(20); PMAIP1(15),moderate
MG-132,10.0,34.11890284161509,CCL2(27); RB1(23); SRC(21); HSPA1A(20); PMAIP1(15),moderate
lestaurtinib,10.0,29.88863149116195,CCL2(27); RB1(23); SRC(21); HSPA1A(20); PMAIP1(15),low
navitoclax,10.0,28.141067421358958,CCL2(27); RB1(23); SRC(21); HSPA1A(20); PMAIP1(15),low
lapatinib,10.0,27.655883402155514,CCL2(27); RB1(23); SRC(21); HSPA1A(20); PMAIP1(15),low
bortezomib,10.0,26.966075289685225,CCL2(27); RB1(23); SRC(21); HSPA1A(20); PMAIP1(15),low
AZD-6482,10.0,24.443888306030818,CCL2(27); RB1(23); SRC(21); HSPA1A(20); PMAIP1(15),low
ABT-737,10.0,24.210336387343233,CCL2(27); RB1(23); SRC(21); HSPA1A(20); PMAIP1(15),low
foretinib,10.0,23.136542637016785,CCL2(27); RB1(23); SRC(21); HSPA1A(20); PMAIP1(15),low
staurosporine,10.0,22.94967459465072,CCL2(27); RB1(23); SRC(21); HSPA1A(20); PMAIP1(15),low
MK-1775,10.0,22.55100552317817,CCL2(27); RB1(23); SRC(21); HSPA1A(20); PMAIP1(15),low
gemcitabine,10.0,20.617245056257442,CCL2(27); RB1(23); SRC(21); HSPA1A(20); PMAIP1(15),low
sorafenib,10.0,19.753488141337662,CCL2(27); RB1(23); SRC(21); HSPA1A(20); PMAIP1(15),low
epirubicin,10.0,19.118491385676872,CCL2(27); RB1(23); SRC(21); HSPA1A(20); PMAIP1(15),low
nilotinib,10.0,17.277110840760848,CCL2(27); RB1(23); SRC(21); HSPA1A(20); PMAIP1(15),low
