drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,PPARG(25); RB1(22); CHEK1(20); SRC(16); HDAC6(16),very_high
sirolimus,1.11,99.43343918180187,PPARG(25); RB1(22); CHEK1(20); SRC(16); HDAC6(16),very_high
docetaxel,1.11,66.57869420320172,PPARG(25); RB1(22); CHEK1(20); SRC(16); HDAC6(16),high
paclitaxel,10.0,65.88292808160512,PPARG(25); RB1(22); CHEK1(20); SRC(16); HDAC6(16),high
vinorelbine,10.0,49.66923235072868,PPARG(25); RB1(22); CHEK1(20); SRC(16); HDAC6(16),moderate
vinblastine,10.0,48.275871041824395,PPARG(25); RB1(22); CHEK1(20); SRC(16); HDAC6(16),moderate
NVP-AUY922,1.11,33.77412581859472,PPARG(25); RB1(22); CHEK1(20); SRC(16); HDAC6(16),moderate
NVP-BEZ235,10.0,33.73374685534149,PPARG(25); RB1(22); CHEK1(20); SRC(16); HDAC6(16),moderate
lestaurtinib,10.0,32.85879347420311,PPARG(25); RB1(22); CHEK1(20); SRC(16); HDAC6(16),moderate
methotrexate,10.0,32.67898709838115,PPARG(25); RB1(22); CHEK1(20); SRC(16); HDAC6(16),moderate
epirubicin,10.0,31.290877879327457,PPARG(25); RB1(22); CHEK1(20); SRC(16); HDAC6(16),moderate
camptothecin,1.11,30.49432597406464,PPARG(25); RB1(22); CHEK1(20); SRC(16); HDAC6(16),moderate
gemcitabine,10.0,30.03259447344789,PPARG(25); RB1(22); CHEK1(20); SRC(16); HDAC6(16),moderate
staurosporine,10.0,28.58564637741845,PPARG(25); RB1(22); CHEK1(20); SRC(16); HDAC6(16),low
GDC-0941,10.0,28.270486481082695,PPARG(25); RB1(22); CHEK1(20); SRC(16); HDAC6(16),low
SN-38,1.11,25.190113999006744,PPARG(25); RB1(22); CHEK1(20); SRC(16); HDAC6(16),low
tanespimycin,10.0,25.07943500967099,PPARG(25); RB1(22); CHEK1(20); SRC(16); HDAC6(16),low
nutlin-3,10.0,24.033706700218165,PPARG(25); RB1(22); CHEK1(20); SRC(16); HDAC6(16),low
topotecan,1.11,22.22084371544477,PPARG(25); RB1(22); CHEK1(20); SRC(16); HDAC6(16),low
lapatinib,10.0,21.95641076406164,PPARG(25); RB1(22); CHEK1(20); SRC(16); HDAC6(16),low
