drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.97031665657981,HES1(27); PPARG(22); KDM5A(13); EGR1(12); CHEK1(11),very_high
docetaxel,10.0,61.543588307936055,HES1(27); PPARG(22); KDM5A(13); EGR1(12); CHEK1(11),high
vinorelbine,10.0,53.87190625468234,HES1(27); PPARG(22); KDM5A(13); EGR1(12); CHEK1(11),high
vinblastine,10.0,49.3797432538894,HES1(27); PPARG(22); KDM5A(13); EGR1(12); CHEK1(11),moderate
temsirolimus,10.0,44.19719930622626,HES1(27); PPARG(22); KDM5A(13); EGR1(12); CHEK1(11),moderate
methotrexate,10.0,43.776176166497194,HES1(27); PPARG(22); KDM5A(13); EGR1(12); CHEK1(11),moderate
MG-132,10.0,33.216840313994574,HES1(27); PPARG(22); KDM5A(13); EGR1(12); CHEK1(11),moderate
lestaurtinib,10.0,30.465725165233504,HES1(27); PPARG(22); KDM5A(13); EGR1(12); CHEK1(11),moderate
navitoclax,10.0,28.5683586992954,HES1(27); PPARG(22); KDM5A(13); EGR1(12); CHEK1(11),low
lapatinib,10.0,27.951183328549117,HES1(27); PPARG(22); KDM5A(13); EGR1(12); CHEK1(11),low
bortezomib,10.0,27.254987760216633,HES1(27); PPARG(22); KDM5A(13); EGR1(12); CHEK1(11),low
foretinib,10.0,25.188855873400907,HES1(27); PPARG(22); KDM5A(13); EGR1(12); CHEK1(11),low
AZD-6482,10.0,24.882887062076605,HES1(27); PPARG(22); KDM5A(13); EGR1(12); CHEK1(11),low
ABT-737,10.0,24.637627665279673,HES1(27); PPARG(22); KDM5A(13); EGR1(12); CHEK1(11),low
staurosporine,10.0,23.52676826872226,HES1(27); PPARG(22); KDM5A(13); EGR1(12); CHEK1(11),low
MK-1775,10.0,23.415234079030025,HES1(27); PPARG(22); KDM5A(13); EGR1(12); CHEK1(11),low
gemcitabine,10.0,21.411570053242816,HES1(27); PPARG(22); KDM5A(13); EGR1(12); CHEK1(11),low
sorafenib,10.0,21.28477348441011,HES1(27); PPARG(22); KDM5A(13); EGR1(12); CHEK1(11),low
epirubicin,10.0,19.695585059748407,HES1(27); PPARG(22); KDM5A(13); EGR1(12); CHEK1(11),low
nilotinib,10.0,18.808396183833295,HES1(27); PPARG(22); KDM5A(13); EGR1(12); CHEK1(11),low
