drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,72.43398138367763,HES1(30); PPARG(17); HSPB1(13); RB1(13); BRCA1(12),very_high
docetaxel,10.0,63.00725303503389,HES1(30); PPARG(17); HSPB1(13); RB1(13); BRCA1(12),high
vinorelbine,10.0,55.335570981780194,HES1(30); PPARG(17); HSPB1(13); RB1(13); BRCA1(12),high
vinblastine,10.0,50.843407980987266,HES1(30); PPARG(17); HSPB1(13); RB1(13); BRCA1(12),high
temsirolimus,10.0,45.84913928821005,HES1(30); PPARG(17); HSPB1(13); RB1(13); BRCA1(12),moderate
methotrexate,10.0,45.41132038024992,HES1(30); PPARG(17); HSPB1(13); RB1(13); BRCA1(12),moderate
MG-132,10.0,34.851984527747305,HES1(30); PPARG(17); HSPB1(13); RB1(13); BRCA1(12),moderate
lestaurtinib,10.0,32.04623013138979,HES1(30); PPARG(17); HSPB1(13); RB1(13); BRCA1(12),moderate
navitoclax,10.0,30.148463178193694,HES1(30); PPARG(17); HSPB1(13); RB1(13); BRCA1(12),moderate
lapatinib,10.0,29.629683128129695,HES1(30); PPARG(17); HSPB1(13); RB1(13); BRCA1(12),low
bortezomib,10.0,28.890131973969368,HES1(30); PPARG(17); HSPB1(13); RB1(13); BRCA1(12),low
foretinib,10.0,26.669316368729824,HES1(30); PPARG(17); HSPB1(13); RB1(13); BRCA1(12),low
AZD-6482,10.0,26.518031275829333,HES1(30); PPARG(17); HSPB1(13); RB1(13); BRCA1(12),low
ABT-737,10.0,26.21773214417797,HES1(30); PPARG(17); HSPB1(13); RB1(13); BRCA1(12),low
staurosporine,10.0,25.161912482474982,HES1(30); PPARG(17); HSPB1(13); RB1(13); BRCA1(12),low
MK-1775,10.0,25.067174061013795,HES1(30); PPARG(17); HSPB1(13); RB1(13); BRCA1(12),low
gemcitabine,10.0,23.046714266995536,HES1(30); PPARG(17); HSPB1(13); RB1(13); BRCA1(12),low
sorafenib,10.0,22.710594732142543,HES1(30); PPARG(17); HSPB1(13); RB1(13); BRCA1(12),low
epirubicin,10.0,21.330729273501134,HES1(30); PPARG(17); HSPB1(13); RB1(13); BRCA1(12),low
nilotinib,10.0,20.288856679162212,HES1(30); PPARG(17); HSPB1(13); RB1(13); BRCA1(12),low
