drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.64388291464316,PPARG(30); CCND1(19); HES1(15); CHEK1(15); HDAC2(14),high
docetaxel,10.0,59.21715456599938,PPARG(30); CCND1(19); HES1(15); CHEK1(15); HDAC2(14),high
vinorelbine,10.0,51.6900201383112,PPARG(30); CCND1(19); HES1(15); CHEK1(15); HDAC2(14),high
vinblastine,10.0,47.19785713751827,PPARG(30); CCND1(19); HES1(15); CHEK1(15); HDAC2(14),moderate
methotrexate,10.0,43.35419444499103,PPARG(30); CCND1(19); HES1(15); CHEK1(15); HDAC2(14),moderate
temsirolimus,10.0,42.314781337686014,PPARG(30); CCND1(19); HES1(15); CHEK1(15); HDAC2(14),moderate
MG-132,10.0,32.670960832028506,PPARG(30); CCND1(19); HES1(15); CHEK1(15); HDAC2(14),moderate
lestaurtinib,10.0,28.365653626138112,PPARG(30); CCND1(19); HES1(15); CHEK1(15); HDAC2(14),low
navitoclax,10.0,27.05612603125174,PPARG(30); CCND1(19); HES1(15); CHEK1(15); HDAC2(14),low
lapatinib,10.0,26.350635694780895,PPARG(30); CCND1(19); HES1(15); CHEK1(15); HDAC2(14),low
bortezomib,10.0,25.563983627513057,PPARG(30); CCND1(19); HES1(15); CHEK1(15); HDAC2(14),low
AZD-6482,10.0,23.20447067827933,PPARG(30); CCND1(19); HES1(15); CHEK1(15); HDAC2(14),low
ABT-737,10.0,23.125394997236015,PPARG(30); CCND1(19); HES1(15); CHEK1(15); HDAC2(14),low
foretinib,10.0,22.068157305004842,PPARG(30); CCND1(19); HES1(15); CHEK1(15); HDAC2(14),low
MK-1775,10.0,21.50943677622171,PPARG(30); CCND1(19); HES1(15); CHEK1(15); HDAC2(14),low
staurosporine,10.0,21.481335977223367,PPARG(30); CCND1(19); HES1(15); CHEK1(15); HDAC2(14),low
gemcitabine,10.0,19.628380334821568,PPARG(30); CCND1(19); HES1(15); CHEK1(15); HDAC2(14),low
sorafenib,10.0,18.423268178410154,PPARG(30); CCND1(19); HES1(15); CHEK1(15); HDAC2(14),low
epirubicin,10.0,17.670549376090225,PPARG(30); CCND1(19); HES1(15); CHEK1(15); HDAC2(14),low
nilotinib,10.0,16.00153012542982,PPARG(30); CCND1(19); HES1(15); CHEK1(15); HDAC2(14),low
