drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,CCL2(16); JUN(15); CDK4(14); PMAIP1(13); HMGCR(13),very_high
sirolimus,1.11,99.8056119455749,CCL2(16); JUN(15); CDK4(14); PMAIP1(13); HMGCR(13),very_high
docetaxel,1.11,66.99384746621105,CCL2(16); JUN(15); CDK4(14); PMAIP1(13); HMGCR(13),high
paclitaxel,10.0,66.29808134461445,CCL2(16); JUN(15); CDK4(14); PMAIP1(13); HMGCR(13),high
vinorelbine,10.0,50.06959078625989,CCL2(16); JUN(15); CDK4(14); PMAIP1(13); HMGCR(13),high
vinblastine,10.0,48.676229477355605,CCL2(16); JUN(15); CDK4(14); PMAIP1(13); HMGCR(13),moderate
NVP-BEZ235,10.0,34.261730003280086,CCL2(16); JUN(15); CDK4(14); PMAIP1(13); HMGCR(13),moderate
NVP-AUY922,1.11,34.18927908160403,CCL2(16); JUN(15); CDK4(14); PMAIP1(13); HMGCR(13),moderate
lestaurtinib,10.0,33.38677662214171,CCL2(16); JUN(15); CDK4(14); PMAIP1(13); HMGCR(13),moderate
methotrexate,10.0,33.09414036139045,CCL2(16); JUN(15); CDK4(14); PMAIP1(13); HMGCR(13),moderate
epirubicin,10.0,31.688749974906717,CCL2(16); JUN(15); CDK4(14); PMAIP1(13); HMGCR(13),moderate
camptothecin,1.11,30.842672642242054,CCL2(16); JUN(15); CDK4(14); PMAIP1(13); HMGCR(13),moderate
gemcitabine,10.0,30.430466569027157,CCL2(16); JUN(15); CDK4(14); PMAIP1(13); HMGCR(13),moderate
GDC-0941,10.0,28.668358576661955,CCL2(16); JUN(15); CDK4(14); PMAIP1(13); HMGCR(13),low
staurosporine,10.0,28.535664101018654,CCL2(16); JUN(15); CDK4(14); PMAIP1(13); HMGCR(13),low
SN-38,1.11,25.53846066718415,CCL2(16); JUN(15); CDK4(14); PMAIP1(13); HMGCR(13),low
tanespimycin,10.0,25.494588272680314,CCL2(16); JUN(15); CDK4(14); PMAIP1(13); HMGCR(13),low
nutlin-3,10.0,24.431578795797424,CCL2(16); JUN(15); CDK4(14); PMAIP1(13); HMGCR(13),low
topotecan,1.11,22.569190383622175,CCL2(16); JUN(15); CDK4(14); PMAIP1(13); HMGCR(13),low
navitoclax,10.0,21.849662878325905,CCL2(16); JUN(15); CDK4(14); PMAIP1(13); HMGCR(13),low
