drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,PPARG(66); CCL2(27); RB1(26); EGR1(18); GATA3(14),very_high
sirolimus,1.11,98.82830096936402,PPARG(66); CCL2(27); RB1(26); EGR1(18); GATA3(14),very_high
docetaxel,1.11,67.93164079474673,PPARG(66); CCL2(27); RB1(26); EGR1(18); GATA3(14),high
paclitaxel,10.0,67.23587467315012,PPARG(66); CCL2(27); RB1(26); EGR1(18); GATA3(14),high
vinorelbine,10.0,54.243881272581895,PPARG(66); CCL2(27); RB1(26); EGR1(18); GATA3(14),high
vinblastine,10.0,53.11949707516733,PPARG(66); CCL2(27); RB1(26); EGR1(18); GATA3(14),high
NVP-BEZ235,10.0,39.34142461758944,PPARG(66); CCL2(27); RB1(26); EGR1(18); GATA3(14),moderate
NVP-AUY922,1.11,38.337769172246695,PPARG(66); CCL2(27); RB1(26); EGR1(18); GATA3(14),moderate
camptothecin,1.11,35.92236725655146,PPARG(66); CCL2(27); RB1(26); EGR1(18); GATA3(14),moderate
methotrexate,10.0,34.40034271180251,PPARG(66); CCL2(27); RB1(26); EGR1(18); GATA3(14),moderate
lestaurtinib,10.0,34.350925122110525,PPARG(66); CCL2(27); RB1(26); EGR1(18); GATA3(14),moderate
GDC-0941,10.0,33.976274285990684,PPARG(66); CCL2(27); RB1(26); EGR1(18); GATA3(14),moderate
epirubicin,10.0,32.65289847487558,PPARG(66); CCL2(27); RB1(26); EGR1(18); GATA3(14),moderate
gemcitabine,10.0,31.532476993763154,PPARG(66); CCL2(27); RB1(26); EGR1(18); GATA3(14),moderate
SN-38,1.11,30.79107662838321,PPARG(66); CCL2(27); RB1(26); EGR1(18); GATA3(14),moderate
staurosporine,10.0,30.095059192755908,PPARG(66); CCL2(27); RB1(26); EGR1(18); GATA3(14),moderate
topotecan,1.11,27.821806344821212,PPARG(66); CCL2(27); RB1(26); EGR1(18); GATA3(14),low
nutlin-3,10.0,27.674551950700323,PPARG(66); CCL2(27); RB1(26); EGR1(18); GATA3(14),low
tanespimycin,10.0,26.866559729523384,PPARG(66); CCL2(27); RB1(26); EGR1(18); GATA3(14),low
lapatinib,10.0,26.66304162091327,PPARG(66); CCL2(27); RB1(26); EGR1(18); GATA3(14),low
