drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,KDM5A(26); JUN(21); RB1(21); CDK4(20); PPARG(13),very_high
sirolimus,1.11,99.87504701320086,KDM5A(26); JUN(21); RB1(21); CDK4(20); PPARG(13),very_high
docetaxel,1.11,67.05644903863572,KDM5A(26); JUN(21); RB1(21); CDK4(20); PPARG(13),high
paclitaxel,10.0,66.36068291703911,KDM5A(26); JUN(21); RB1(21); CDK4(20); PPARG(13),high
vinorelbine,10.0,50.132192358684534,KDM5A(26); JUN(21); RB1(21); CDK4(20); PPARG(13),high
vinblastine,10.0,48.73883104978025,KDM5A(26); JUN(21); RB1(21); CDK4(20); PPARG(13),moderate
NVP-BEZ235,10.0,34.32433157570473,KDM5A(26); JUN(21); RB1(21); CDK4(20); PPARG(13),moderate
NVP-AUY922,1.11,34.25871414922998,KDM5A(26); JUN(21); RB1(21); CDK4(20); PPARG(13),moderate
lestaurtinib,10.0,33.44937819456636,KDM5A(26); JUN(21); RB1(21); CDK4(20); PPARG(13),moderate
methotrexate,10.0,33.15674193381513,KDM5A(26); JUN(21); RB1(21); CDK4(20); PPARG(13),moderate
epirubicin,10.0,31.597172948464642,KDM5A(26); JUN(21); RB1(21); CDK4(20); PPARG(13),moderate
camptothecin,1.11,30.905274214666694,KDM5A(26); JUN(21); RB1(21); CDK4(20); PPARG(13),moderate
gemcitabine,10.0,30.338889542585083,KDM5A(26); JUN(21); RB1(21); CDK4(20); PPARG(13),moderate
staurosporine,10.0,29.19351226521175,KDM5A(26); JUN(21); RB1(21); CDK4(20); PPARG(13),low
GDC-0941,10.0,28.730960149086595,KDM5A(26); JUN(21); RB1(21); CDK4(20); PPARG(13),low
SN-38,1.11,25.60106223960879,KDM5A(26); JUN(21); RB1(21); CDK4(20); PPARG(13),low
tanespimycin,10.0,25.557189845104947,KDM5A(26); JUN(21); RB1(21); CDK4(20); PPARG(13),low
nutlin-3,10.0,24.50101386342337,KDM5A(26); JUN(21); RB1(21); CDK4(20); PPARG(13),low
topotecan,1.11,22.631791956046815,KDM5A(26); JUN(21); RB1(21); CDK4(20); PPARG(13),low
lapatinib,10.0,22.434165599495596,KDM5A(26); JUN(21); RB1(21); CDK4(20); PPARG(13),low
