drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.25113444721039,RB1(25); CCL2(22); CHEK1(18); HSPB1(13); PMAIP1(12),high
docetaxel,10.0,59.8244060985666,RB1(25); CCL2(22); CHEK1(18); HSPB1(13); PMAIP1(12),high
vinorelbine,10.0,51.61287712331962,RB1(25); CCL2(22); CHEK1(18); HSPB1(13); PMAIP1(12),high
vinblastine,10.0,47.12071412252669,RB1(25); CCL2(22); CHEK1(18); HSPB1(13); PMAIP1(12),moderate
methotrexate,10.0,44.441799511103895,RB1(25); CCL2(22); CHEK1(18); HSPB1(13); PMAIP1(12),moderate
temsirolimus,10.0,44.2586411339767,RB1(25); CCL2(22); CHEK1(18); HSPB1(13); PMAIP1(12),moderate
MG-132,10.0,33.760863456837555,RB1(25); CCL2(22); CHEK1(18); HSPB1(13); PMAIP1(12),moderate
lestaurtinib,10.0,31.070618440437087,RB1(25); CCL2(22); CHEK1(18); HSPB1(13); PMAIP1(12),moderate
navitoclax,10.0,28.614484969126565,RB1(25); CCL2(22); CHEK1(18); HSPB1(13); PMAIP1(12),low
lapatinib,10.0,27.97858395937424,RB1(25); CCL2(22); CHEK1(18); HSPB1(13); PMAIP1(12),low
bortezomib,10.0,26.852954356837273,RB1(25); CCL2(22); CHEK1(18); HSPB1(13); PMAIP1(12),low
ABT-737,10.0,24.68375393511084,RB1(25); CCL2(22); CHEK1(18); HSPB1(13); PMAIP1(12),low
AZD-6482,10.0,24.493441407603544,RB1(25); CCL2(22); CHEK1(18); HSPB1(13); PMAIP1(12),low
staurosporine,10.0,24.131661543925816,RB1(25); CCL2(22); CHEK1(18); HSPB1(13); PMAIP1(12),low
foretinib,10.0,23.181204715723553,RB1(25); CCL2(22); CHEK1(18); HSPB1(13); PMAIP1(12),low
MK-1775,10.0,22.960434925676047,RB1(25); CCL2(22); CHEK1(18); HSPB1(13); PMAIP1(12),low
gemcitabine,10.0,21.06469883315627,RB1(25); CCL2(22); CHEK1(18); HSPB1(13); PMAIP1(12),low
epirubicin,10.0,20.584816622624622,RB1(25); CCL2(22); CHEK1(18); HSPB1(13); PMAIP1(12),low
sorafenib,10.0,19.30896724771244,RB1(25); CCL2(22); CHEK1(18); HSPB1(13); PMAIP1(12),low
tanespimycin,10.0,16.799070246053994,RB1(25); CCL2(22); CHEK1(18); HSPB1(13); PMAIP1(12),low
