drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,GATA3(29); RB1(29); CCL2(22); SMAD3(21); CHEK1(15),very_high
sirolimus,1.11,99.43515276916428,GATA3(29); RB1(29); CCL2(22); SMAD3(21); CHEK1(15),very_high
docetaxel,1.11,67.18184909254249,GATA3(29); RB1(29); CCL2(22); SMAD3(21); CHEK1(15),high
paclitaxel,10.0,66.48608297094589,GATA3(29); RB1(29); CCL2(22); SMAD3(21); CHEK1(15),high
vinorelbine,10.0,50.25759241259128,GATA3(29); RB1(29); CCL2(22); SMAD3(21); CHEK1(15),high
vinblastine,10.0,48.864231103687,GATA3(29); RB1(29); CCL2(22); SMAD3(21); CHEK1(15),moderate
NVP-BEZ235,10.0,34.44973162961148,GATA3(29); RB1(29); CCL2(22); SMAD3(21); CHEK1(15),moderate
NVP-AUY922,1.11,33.818819905193365,GATA3(29); RB1(29); CCL2(22); SMAD3(21); CHEK1(15),moderate
lestaurtinib,10.0,33.58866367488314,GATA3(29); RB1(29); CCL2(22); SMAD3(21); CHEK1(15),moderate
methotrexate,10.0,33.28214198772187,GATA3(29); RB1(29); CCL2(22); SMAD3(21); CHEK1(15),moderate
epirubicin,10.0,31.890637027648147,GATA3(29); RB1(29); CCL2(22); SMAD3(21); CHEK1(15),moderate
camptothecin,1.11,31.054500364169037,GATA3(29); RB1(29); CCL2(22); SMAD3(21); CHEK1(15),moderate
gemcitabine,10.0,30.63235362176858,GATA3(29); RB1(29); CCL2(22); SMAD3(21); CHEK1(15),moderate
GDC-0941,10.0,28.911659951122942,GATA3(29); RB1(29); CCL2(22); SMAD3(21); CHEK1(15),low
staurosporine,10.0,28.753618021175143,GATA3(29); RB1(29); CCL2(22); SMAD3(21); CHEK1(15),low
SN-38,1.11,25.750288389111148,GATA3(29); RB1(29); CCL2(22); SMAD3(21); CHEK1(15),low
tanespimycin,10.0,25.11729560106834,GATA3(29); RB1(29); CCL2(22); SMAD3(21); CHEK1(15),low
nutlin-3,10.0,24.626413917330122,GATA3(29); RB1(29); CCL2(22); SMAD3(21); CHEK1(15),low
topotecan,1.11,22.781018105549173,GATA3(29); RB1(29); CCL2(22); SMAD3(21); CHEK1(15),low
lapatinib,10.0,22.55956565340235,GATA3(29); RB1(29); CCL2(22); SMAD3(21); CHEK1(15),low
