drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.23637652439467,CCL2(33); EGR1(20); RB1(18); HSPB1(17); HDAC2(17),very_high
docetaxel,10.0,60.809648175750915,CCL2(33); EGR1(20); RB1(18); HSPB1(17); HDAC2(17),high
vinorelbine,10.0,53.309992449190034,CCL2(33); EGR1(20); RB1(18); HSPB1(17); HDAC2(17),high
vinblastine,10.0,48.817829448397106,CCL2(33); EGR1(20); RB1(18); HSPB1(17); HDAC2(17),moderate
methotrexate,10.0,45.18842992159128,CCL2(33); EGR1(20); RB1(18); HSPB1(17); HDAC2(17),moderate
temsirolimus,10.0,44.22241167092148,CCL2(33); EGR1(20); RB1(18); HSPB1(17); HDAC2(17),moderate
MG-132,10.0,34.9642735967795,CCL2(33); EGR1(20); RB1(18); HSPB1(17); HDAC2(17),moderate
lestaurtinib,10.0,30.398511783601133,CCL2(33); EGR1(20); RB1(18); HSPB1(17); HDAC2(17),moderate
navitoclax,10.0,29.06858758087404,CCL2(33); EGR1(20); RB1(18); HSPB1(17); HDAC2(17),low
lapatinib,10.0,28.446614909723426,CCL2(33); EGR1(20); RB1(18); HSPB1(17); HDAC2(17),low
bortezomib,10.0,27.811446044849635,CCL2(33); EGR1(20); RB1(18); HSPB1(17); HDAC2(17),low
AZD-6482,10.0,25.28925906119522,CCL2(33); EGR1(20); RB1(18); HSPB1(17); HDAC2(17),low
ABT-737,10.0,25.137856546858323,CCL2(33); EGR1(20); RB1(18); HSPB1(17); HDAC2(17),low
foretinib,10.0,23.956111778461842,CCL2(33); EGR1(20); RB1(18); HSPB1(17); HDAC2(17),low
MK-1775,10.0,23.72942049243096,CCL2(33); EGR1(20); RB1(18); HSPB1(17); HDAC2(17),low
staurosporine,10.0,23.514194134686374,CCL2(33); EGR1(20); RB1(18); HSPB1(17); HDAC2(17),low
gemcitabine,10.0,21.462615811421845,CCL2(33); EGR1(20); RB1(18); HSPB1(17); HDAC2(17),low
sorafenib,10.0,19.997390141874554,CCL2(33); EGR1(20); RB1(18); HSPB1(17); HDAC2(17),low
epirubicin,10.0,19.68301092571252,CCL2(33); EGR1(20); RB1(18); HSPB1(17); HDAC2(17),low
tanespimycin,10.0,17.610214165055854,CCL2(33); EGR1(20); RB1(18); HSPB1(17); HDAC2(17),low
