drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,JUN(21); EGR1(20); CASP3(19); PPARG(19); CDK4(18),very_high
sirolimus,1.11,99.9053580128063,JUN(21); EGR1(20); CASP3(19); PPARG(19); CDK4(18),very_high
docetaxel,1.11,67.08676003824117,JUN(21); EGR1(20); CASP3(19); PPARG(19); CDK4(18),high
paclitaxel,10.0,66.39099391664456,JUN(21); EGR1(20); CASP3(19); PPARG(19); CDK4(18),high
vinorelbine,10.0,50.16250335828996,JUN(21); EGR1(20); CASP3(19); PPARG(19); CDK4(18),high
vinblastine,10.0,48.76914204938568,JUN(21); EGR1(20); CASP3(19); PPARG(19); CDK4(18),moderate
NVP-BEZ235,10.0,34.35464257531016,JUN(21); EGR1(20); CASP3(19); PPARG(19); CDK4(18),moderate
NVP-AUY922,1.11,34.28902514883541,JUN(21); EGR1(20); CASP3(19); PPARG(19); CDK4(18),moderate
lestaurtinib,10.0,33.493574620581825,JUN(21); EGR1(20); CASP3(19); PPARG(19); CDK4(18),moderate
methotrexate,10.0,33.187052933420546,JUN(21); EGR1(20); CASP3(19); PPARG(19); CDK4(18),moderate
epirubicin,10.0,31.795547973346835,JUN(21); EGR1(20); CASP3(19); PPARG(19); CDK4(18),moderate
camptothecin,1.11,30.95941130986774,JUN(21); EGR1(20); CASP3(19); PPARG(19); CDK4(18),moderate
gemcitabine,10.0,30.537264567467275,JUN(21); EGR1(20); CASP3(19); PPARG(19); CDK4(18),moderate
staurosporine,10.0,29.22382326481719,JUN(21); EGR1(20); CASP3(19); PPARG(19); CDK4(18),low
GDC-0941,10.0,28.761271148692035,JUN(21); EGR1(20); CASP3(19); PPARG(19); CDK4(18),low
SN-38,1.11,25.655199334809836,JUN(21); EGR1(20); CASP3(19); PPARG(19); CDK4(18),low
tanespimycin,10.0,25.587500844710394,JUN(21); EGR1(20); CASP3(19); PPARG(19); CDK4(18),low
nutlin-3,10.0,24.53132486302881,JUN(21); EGR1(20); CASP3(19); PPARG(19); CDK4(18),low
topotecan,1.11,22.68592905124786,JUN(21); EGR1(20); CASP3(19); PPARG(19); CDK4(18),low
lapatinib,10.0,22.035224090740922,JUN(21); EGR1(20); CASP3(19); PPARG(19); CDK4(18),low
