drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.98869171150133,KDM5A(18); CHEK1(16); EGR1(15); CCND1(12); CDK1(11),high
docetaxel,10.0,59.561963362857554,KDM5A(18); CHEK1(16); EGR1(15); CCND1(12); CDK1(11),high
vinorelbine,10.0,51.88001593967229,KDM5A(18); CHEK1(16); EGR1(15); CCND1(12); CDK1(11),high
vinblastine,10.0,47.38785293887936,KDM5A(18); CHEK1(16); EGR1(15); CCND1(12); CDK1(11),moderate
temsirolimus,10.0,44.432104572499476,KDM5A(18); CHEK1(16); EGR1(15); CCND1(12); CDK1(11),moderate
methotrexate,10.0,43.79633033243366,KDM5A(18); CHEK1(16); EGR1(15); CCND1(12); CDK1(11),moderate
MG-132,10.0,33.15894706688558,KDM5A(18); CHEK1(16); EGR1(15); CCND1(12); CDK1(11),moderate
lestaurtinib,10.0,30.169144350959034,KDM5A(18); CHEK1(16); EGR1(15); CCND1(12); CDK1(11),moderate
navitoclax,10.0,28.942608174467697,KDM5A(18); CHEK1(16); EGR1(15); CCND1(12); CDK1(11),low
lapatinib,10.0,26.408277036232466,KDM5A(18); CHEK1(16); EGR1(15); CCND1(12); CDK1(11),low
bortezomib,10.0,26.006119514955724,KDM5A(18); CHEK1(16); EGR1(15); CCND1(12); CDK1(11),low
ABT-737,10.0,25.01187714045198,KDM5A(18); CHEK1(16); EGR1(15); CCND1(12); CDK1(11),low
AZD-6482,10.0,23.666224227925706,KDM5A(18); CHEK1(16); EGR1(15); CCND1(12); CDK1(11),low
staurosporine,10.0,23.28482670204426,KDM5A(18); CHEK1(16); EGR1(15); CCND1(12); CDK1(11),low
foretinib,10.0,22.5261352689441,KDM5A(18); CHEK1(16); EGR1(15); CCND1(12); CDK1(11),low
MK-1775,10.0,21.721891113170358,KDM5A(18); CHEK1(16); EGR1(15); CCND1(12); CDK1(11),low
gemcitabine,10.0,20.07051622226422,KDM5A(18); CHEK1(16); EGR1(15); CCND1(12); CDK1(11),low
epirubicin,10.0,19.453643493070413,KDM5A(18); CHEK1(16); EGR1(15); CCND1(12); CDK1(11),low
sorafenib,10.0,18.18291908636572,KDM5A(18); CHEK1(16); EGR1(15); CCND1(12); CDK1(11),low
nilotinib,10.0,16.14567557937648,KDM5A(18); CHEK1(16); EGR1(15); CCND1(12); CDK1(11),low
