drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,PPARG(47); JUN(38); RB1(30); HSPB1(17); CASP3(16),very_high
sirolimus,1.11,100.0,PPARG(47); JUN(38); RB1(30); HSPB1(17); CASP3(16),very_high
docetaxel,1.11,67.1722507224102,PPARG(47); JUN(38); RB1(30); HSPB1(17); CASP3(16),high
paclitaxel,10.0,66.47648460081359,PPARG(47); JUN(38); RB1(30); HSPB1(17); CASP3(16),high
vinorelbine,10.0,49.99973645145686,PPARG(47); JUN(38); RB1(30); HSPB1(17); CASP3(16),moderate
vinblastine,10.0,48.87535225404229,PPARG(47); JUN(38); RB1(30); HSPB1(17); CASP3(16),moderate
NVP-BEZ235,10.0,34.89765637245794,PPARG(47); JUN(38); RB1(30); HSPB1(17); CASP3(16),moderate
NVP-AUY922,1.11,34.83203894598318,PPARG(47); JUN(38); RB1(30); HSPB1(17); CASP3(16),moderate
lestaurtinib,10.0,34.02270299131956,PPARG(47); JUN(38); RB1(30); HSPB1(17); CASP3(16),moderate
methotrexate,10.0,33.73006673056836,PPARG(47); JUN(38); RB1(30); HSPB1(17); CASP3(16),moderate
epirubicin,10.0,32.17049774521788,PPARG(47); JUN(38); RB1(30); HSPB1(17); CASP3(16),moderate
camptothecin,1.11,31.17346366461212,PPARG(47); JUN(38); RB1(30); HSPB1(17); CASP3(16),moderate
gemcitabine,10.0,30.622517707360988,PPARG(47); JUN(38); RB1(30); HSPB1(17); CASP3(16),moderate
GDC-0941,10.0,29.304284945839814,PPARG(47); JUN(38); RB1(30); HSPB1(17); CASP3(16),low
staurosporine,10.0,29.171590470196513,PPARG(47); JUN(38); RB1(30); HSPB1(17); CASP3(16),low
SN-38,1.11,26.200086368168257,PPARG(47); JUN(38); RB1(30); HSPB1(17); CASP3(16),low
tanespimycin,10.0,26.130514641858174,PPARG(47); JUN(38); RB1(30); HSPB1(17); CASP3(16),low
nutlin-3,10.0,25.07433866017659,PPARG(47); JUN(38); RB1(30); HSPB1(17); CASP3(16),low
topotecan,1.11,22.899981405992193,PPARG(47); JUN(38); RB1(30); HSPB1(17); CASP3(16),low
navitoclax,10.0,22.39918016729571,PPARG(47); JUN(38); RB1(30); HSPB1(17); CASP3(16),low
