drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.04,100.0,HSPB1(24); PPARG(21); CCL2(19); KDM5A(19); AKT1(18),very_high
sirolimus,1.11,100.0,HSPB1(24); PPARG(21); CCL2(19); KDM5A(19); AKT1(18),very_high
docetaxel,1.11,67.65158795384909,HSPB1(24); PPARG(21); CCL2(19); KDM5A(19); AKT1(18),high
paclitaxel,10.0,66.95582183225248,HSPB1(24); PPARG(21); CCL2(19); KDM5A(19); AKT1(18),high
vinorelbine,10.0,50.745635718989746,HSPB1(24); PPARG(21); CCL2(19); KDM5A(19); AKT1(18),high
vinblastine,10.0,49.352274410085464,HSPB1(24); PPARG(21); CCL2(19); KDM5A(19); AKT1(18),moderate
NVP-AUY922,1.11,34.85385306444329,HSPB1(24); PPARG(21); CCL2(19); KDM5A(19); AKT1(18),moderate
NVP-BEZ235,10.0,34.7893594385587,HSPB1(24); PPARG(21); CCL2(19); KDM5A(19); AKT1(18),moderate
lestaurtinib,10.0,33.928291483830364,HSPB1(24); PPARG(21); CCL2(19); KDM5A(19); AKT1(18),moderate
methotrexate,10.0,33.75188084902843,HSPB1(24); PPARG(21); CCL2(19); KDM5A(19); AKT1(18),moderate
epirubicin,10.0,32.360375888954714,HSPB1(24); PPARG(21); CCL2(19); KDM5A(19); AKT1(18),moderate
camptothecin,1.11,31.52423922547562,HSPB1(24); PPARG(21); CCL2(19); KDM5A(19); AKT1(18),moderate
gemcitabine,10.0,31.102092483075168,HSPB1(24); PPARG(21); CCL2(19); KDM5A(19); AKT1(18),moderate
GDC-0941,10.0,29.326099064299928,HSPB1(24); PPARG(21); CCL2(19); KDM5A(19); AKT1(18),low
staurosporine,10.0,29.06329353629728,HSPB1(24); PPARG(21); CCL2(19); KDM5A(19); AKT1(18),low
SN-38,1.11,26.22002725041773,HSPB1(24); PPARG(21); CCL2(19); KDM5A(19); AKT1(18),low
tanespimycin,10.0,26.152328760318287,HSPB1(24); PPARG(21); CCL2(19); KDM5A(19); AKT1(18),low
nutlin-3,10.0,25.096152778636704,HSPB1(24); PPARG(21); CCL2(19); KDM5A(19); AKT1(18),low
topotecan,1.11,23.250756966855754,HSPB1(24); PPARG(21); CCL2(19); KDM5A(19); AKT1(18),low
navitoclax,10.0,22.507403365963878,HSPB1(24); PPARG(21); CCL2(19); KDM5A(19); AKT1(18),low
