drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.62005719893799,RB1(30); EGR1(29); HSPB1(23); CDK4(16); PPARG(14),high
docetaxel,10.0,59.1933288502942,RB1(30); EGR1(29); HSPB1(23); CDK4(16); PPARG(14),high
vinorelbine,10.0,51.816280708120395,RB1(30); EGR1(29); HSPB1(23); CDK4(16); PPARG(14),high
vinblastine,10.0,47.32411770732747,RB1(30); EGR1(29); HSPB1(23); CDK4(16); PPARG(14),moderate
methotrexate,10.0,43.569089041281245,RB1(30); EGR1(29); HSPB1(23); CDK4(16); PPARG(14),moderate
temsirolimus,10.0,42.503842540492386,RB1(30); EGR1(29); HSPB1(23); CDK4(16); PPARG(14),moderate
MG-132,10.0,33.299082369055,RB1(30); EGR1(29); HSPB1(23); CDK4(16); PPARG(14),moderate
lestaurtinib,10.0,29.048414410761094,RB1(30); EGR1(29); HSPB1(23); CDK4(16); PPARG(14),low
navitoclax,10.0,27.842274842110506,RB1(30); EGR1(29); HSPB1(23); CDK4(16); PPARG(14),low
lapatinib,10.0,26.881913277009843,RB1(30); EGR1(29); HSPB1(23); CDK4(16); PPARG(14),low
bortezomib,10.0,26.19210516453957,RB1(30); EGR1(29); HSPB1(23); CDK4(16); PPARG(14),low
ABT-737,10.0,23.91154380809478,RB1(30); EGR1(29); HSPB1(23); CDK4(16); PPARG(14),low
AZD-6482,10.0,23.68250592979146,RB1(30); EGR1(29); HSPB1(23); CDK4(16); PPARG(14),low
foretinib,10.0,22.194417874814036,RB1(30); EGR1(29); HSPB1(23); CDK4(16); PPARG(14),low
staurosporine,10.0,22.109457514249872,RB1(30); EGR1(29); HSPB1(23); CDK4(16); PPARG(14),low
MK-1775,10.0,21.98747202773384,RB1(30); EGR1(29); HSPB1(23); CDK4(16); PPARG(14),low
gemcitabine,10.0,19.84327493111178,RB1(30); EGR1(29); HSPB1(23); CDK4(16); PPARG(14),low
epirubicin,10.0,18.298670913116737,RB1(30); EGR1(29); HSPB1(23); CDK4(16); PPARG(14),low
sorafenib,10.0,18.27299067468596,RB1(30); EGR1(29); HSPB1(23); CDK4(16); PPARG(14),low
nilotinib,10.0,16.127790695239018,RB1(30); EGR1(29); HSPB1(23); CDK4(16); PPARG(14),low
