drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,PPARG(25); HES1(22); CHEK1(21); CASP3(19); CCL2(18),very_high
sirolimus,1.11,100.0,PPARG(25); HES1(22); CHEK1(21); CASP3(19); CCL2(18),very_high
docetaxel,1.11,68.1066694725181,PPARG(25); HES1(22); CHEK1(21); CASP3(19); CCL2(18),high
paclitaxel,10.0,67.77477985398725,PPARG(25); HES1(22); CHEK1(21); CASP3(19); CCL2(18),high
vinorelbine,10.0,50.977221271694056,PPARG(25); HES1(22); CHEK1(21); CASP3(19); CCL2(18),high
vinblastine,10.0,49.583859962789774,PPARG(25); HES1(22); CHEK1(21); CASP3(19); CCL2(18),moderate
NVP-BEZ235,10.0,36.78223073534829,PPARG(25); HES1(22); CHEK1(21); CASP3(19); CCL2(18),moderate
NVP-AUY922,1.11,36.233141338171734,PPARG(25); HES1(22); CHEK1(21); CASP3(19); CCL2(18),moderate
lestaurtinib,10.0,35.92116278061996,PPARG(25); HES1(22); CHEK1(21); CASP3(19); CCL2(18),moderate
epirubicin,10.0,34.35324718574437,PPARG(25); HES1(22); CHEK1(21); CASP3(19); CCL2(18),moderate
methotrexate,10.0,33.49431244502923,PPARG(25); HES1(22); CHEK1(21); CASP3(19); CCL2(18),moderate
camptothecin,1.11,32.91036099440544,PPARG(25); HES1(22); CHEK1(21); CASP3(19); CCL2(18),moderate
gemcitabine,10.0,32.24868064013873,PPARG(25); HES1(22); CHEK1(21); CASP3(19); CCL2(18),moderate
staurosporine,10.0,31.65141142485533,PPARG(25); HES1(22); CHEK1(21); CASP3(19); CCL2(18),moderate
GDC-0941,10.0,30.56464580949909,PPARG(25); HES1(22); CHEK1(21); CASP3(19); CCL2(18),moderate
SN-38,1.11,27.60614901934746,PPARG(25); HES1(22); CHEK1(21); CASP3(19); CCL2(18),low
tanespimycin,10.0,27.594974978052768,PPARG(25); HES1(22); CHEK1(21); CASP3(19); CCL2(18),low
nutlin-3,10.0,25.89710088363772,PPARG(25); HES1(22); CHEK1(21); CASP3(19); CCL2(18),low
topotecan,1.11,24.63687873578549,PPARG(25); HES1(22); CHEK1(21); CASP3(19); CCL2(18),low
lapatinib,10.0,24.134656812218914,PPARG(25); HES1(22); CHEK1(21); CASP3(19); CCL2(18),low
