drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,PPARG(35); CHEK1(23); GATA3(17); EZH2(16); CASP3(16),very_high
sirolimus,1.11,99.57019082665441,PPARG(35); CHEK1(23); GATA3(17); EZH2(16); CASP3(16),very_high
docetaxel,1.11,66.75744242667321,PPARG(35); CHEK1(23); GATA3(17); EZH2(16); CASP3(16),high
paclitaxel,10.0,66.0616763050766,PPARG(35); CHEK1(23); GATA3(17); EZH2(16); CASP3(16),high
vinorelbine,10.0,49.829705818693505,PPARG(35); CHEK1(23); GATA3(17); EZH2(16); CASP3(16),moderate
vinblastine,10.0,48.70532162127894,PPARG(35); CHEK1(23); GATA3(17); EZH2(16); CASP3(16),moderate
NVP-BEZ235,10.0,34.09694659587879,PPARG(35); CHEK1(23); GATA3(17); EZH2(16); CASP3(16),moderate
NVP-AUY922,1.11,34.02449567420273,PPARG(35); CHEK1(23); GATA3(17); EZH2(16); CASP3(16),moderate
lestaurtinib,10.0,33.23587864115046,PPARG(35); CHEK1(23); GATA3(17); EZH2(16); CASP3(16),moderate
methotrexate,10.0,32.929356953989185,PPARG(35); CHEK1(23); GATA3(17); EZH2(16); CASP3(16),moderate
epirubicin,10.0,31.383673395048756,PPARG(35); CHEK1(23); GATA3(17); EZH2(16); CASP3(16),moderate
camptothecin,1.11,30.701715330436368,PPARG(35); CHEK1(23); GATA3(17); EZH2(16); CASP3(16),moderate
gemcitabine,10.0,29.835693357191875,PPARG(35); CHEK1(23); GATA3(17); EZH2(16); CASP3(16),low
staurosporine,10.0,28.96612728538582,PPARG(35); CHEK1(23); GATA3(17); EZH2(16); CASP3(16),low
GDC-0941,10.0,28.55887491739026,PPARG(35); CHEK1(23); GATA3(17); EZH2(16); CASP3(16),low
SN-38,1.11,25.397503355378465,PPARG(35); CHEK1(23); GATA3(17); EZH2(16); CASP3(16),low
tanespimycin,10.0,25.31006926540878,PPARG(35); CHEK1(23); GATA3(17); EZH2(16); CASP3(16),low
nutlin-3,10.0,24.21589327674715,PPARG(35); CHEK1(23); GATA3(17); EZH2(16); CASP3(16),low
topotecan,1.11,22.428233071816496,PPARG(35); CHEK1(23); GATA3(17); EZH2(16); CASP3(16),low
lapatinib,10.0,22.206780619669665,PPARG(35); CHEK1(23); GATA3(17); EZH2(16); CASP3(16),low
