drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.87291613643788,EGR1(24); CCL2(21); PPARG(20); KDM5A(15); HSPA1A(9),high
docetaxel,10.0,59.44618778779407,EGR1(24); CCL2(21); PPARG(20); KDM5A(15); HSPA1A(9),high
vinorelbine,10.0,51.23465881254709,EGR1(24); CCL2(21); PPARG(20); KDM5A(15); HSPA1A(9),high
vinblastine,10.0,46.74249581175416,EGR1(24); CCL2(21); PPARG(20); KDM5A(15); HSPA1A(9),moderate
methotrexate,10.0,44.008831892015806,EGR1(24); CCL2(21); PPARG(20); KDM5A(15); HSPA1A(9),moderate
temsirolimus,10.0,43.198375964412975,EGR1(24); CCL2(21); PPARG(20); KDM5A(15); HSPA1A(9),moderate
MG-132,10.0,33.327895837749466,EGR1(24); CCL2(21); PPARG(20); KDM5A(15); HSPA1A(9),moderate
lestaurtinib,10.0,29.34254293922589,EGR1(24); CCL2(21); PPARG(20); KDM5A(15); HSPA1A(9),low
navitoclax,10.0,27.554219799562862,EGR1(24); CCL2(21); PPARG(20); KDM5A(15); HSPA1A(9),low
lapatinib,10.0,27.54561634028617,EGR1(24); CCL2(21); PPARG(20); KDM5A(15); HSPA1A(9),low
bortezomib,10.0,26.419986737749195,EGR1(24); CCL2(21); PPARG(20); KDM5A(15); HSPA1A(9),low
AZD-6482,10.0,24.060473788515473,EGR1(24); CCL2(21); PPARG(20); KDM5A(15); HSPA1A(9),low
ABT-737,10.0,23.623488765547137,EGR1(24); CCL2(21); PPARG(20); KDM5A(15); HSPA1A(9),low
foretinib,10.0,22.80298640495104,EGR1(24); CCL2(21); PPARG(20); KDM5A(15); HSPA1A(9),low
MK-1775,10.0,22.52746730658797,EGR1(24); CCL2(21); PPARG(20); KDM5A(15); HSPA1A(9),low
staurosporine,10.0,22.40358604271469,EGR1(24); CCL2(21); PPARG(20); KDM5A(15); HSPA1A(9),low
gemcitabine,10.0,20.631731214068207,EGR1(24); CCL2(21); PPARG(20); KDM5A(15); HSPA1A(9),low
epirubicin,10.0,18.85674112141349,EGR1(24); CCL2(21); PPARG(20); KDM5A(15); HSPA1A(9),low
sorafenib,10.0,18.59957161581005,EGR1(24); CCL2(21); PPARG(20); KDM5A(15); HSPA1A(9),low
tanespimycin,10.0,16.366102626965922,EGR1(24); CCL2(21); PPARG(20); KDM5A(15); HSPA1A(9),low
