drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.12,100.0,PMAIP1(20); RB1(17); ERBB2(17); HES1(16); CDK4(15),very_high
sirolimus,0.04,100.0,PMAIP1(20); RB1(17); ERBB2(17); HES1(16); CDK4(15),very_high
docetaxel,1.11,68.5099112528905,PMAIP1(20); RB1(17); ERBB2(17); HES1(16); CDK4(15),high
paclitaxel,10.0,68.17802163435965,PMAIP1(20); RB1(17); ERBB2(17); HES1(16); CDK4(15),high
vinorelbine,10.0,51.62524071504009,PMAIP1(20); RB1(17); ERBB2(17); HES1(16); CDK4(15),high
vinblastine,10.0,50.23187940613581,PMAIP1(20); RB1(17); ERBB2(17); HES1(16); CDK4(15),high
NVP-BEZ235,10.0,37.253655794799755,PMAIP1(20); RB1(17); ERBB2(17); HES1(16); CDK4(15),moderate
NVP-AUY922,1.11,36.694118725394446,PMAIP1(20); RB1(17); ERBB2(17); HES1(16); CDK4(15),moderate
lestaurtinib,10.0,36.39258784007142,PMAIP1(20); RB1(17); ERBB2(17); HES1(16); CDK4(15),moderate
epirubicin,10.0,34.67049364632912,PMAIP1(20); RB1(17); ERBB2(17); HES1(16); CDK4(15),moderate
methotrexate,10.0,33.94845633705064,PMAIP1(20); RB1(17); ERBB2(17); HES1(16); CDK4(15),moderate
camptothecin,1.11,33.3817860538569,PMAIP1(20); RB1(17); ERBB2(17); HES1(16); CDK4(15),moderate
gemcitabine,10.0,32.56592710072347,PMAIP1(20); RB1(17); ERBB2(17); HES1(16); CDK4(15),moderate
staurosporine,10.0,32.10555531687679,PMAIP1(20); RB1(17); ERBB2(17); HES1(16); CDK4(15),moderate
GDC-0941,10.0,31.036070868950574,PMAIP1(20); RB1(17); ERBB2(17); HES1(16); CDK4(15),moderate
SN-38,1.11,28.07757407879895,PMAIP1(20); RB1(17); ERBB2(17); HES1(16); CDK4(15),low
tanespimycin,10.0,28.02938327020396,PMAIP1(20); RB1(17); ERBB2(17); HES1(16); CDK4(15),low
nutlin-3,10.0,26.324457326641525,PMAIP1(20); RB1(17); ERBB2(17); HES1(16); CDK4(15),low
topotecan,1.11,25.108303795236974,PMAIP1(20); RB1(17); ERBB2(17); HES1(16); CDK4(15),low
lapatinib,10.0,24.58880070424034,PMAIP1(20); RB1(17); ERBB2(17); HES1(16); CDK4(15),low
