drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
sirolimus,1.11,100.0,PPARG(20); RB1(20); KDM5A(16); AXIN1(12); CDK4(10),very_high
temsirolimus,0.37,100.0,PPARG(20); RB1(20); KDM5A(16); AXIN1(12); CDK4(10),very_high
docetaxel,1.11,66.83730758958235,PPARG(20); RB1(20); KDM5A(16); AXIN1(12); CDK4(10),high
paclitaxel,10.0,66.5054179710515,PPARG(20); RB1(20); KDM5A(16); AXIN1(12); CDK4(10),high
vinorelbine,10.0,50.97889663392197,PPARG(20); RB1(20); KDM5A(16); AXIN1(12); CDK4(10),high
vinblastine,10.0,49.58553532501769,PPARG(20); RB1(20); KDM5A(16); AXIN1(12); CDK4(10),moderate
NVP-BEZ235,10.0,35.659771342937695,PPARG(20); RB1(20); KDM5A(16); AXIN1(12); CDK4(10),moderate
methotrexate,10.0,34.49218170104811,PPARG(20); RB1(20); KDM5A(16); AXIN1(12); CDK4(10),moderate
NVP-AUY922,1.11,34.48387406912947,PPARG(20); RB1(20); KDM5A(16); AXIN1(12); CDK4(10),moderate
lestaurtinib,10.0,34.281287642325694,PPARG(20); RB1(20); KDM5A(16); AXIN1(12); CDK4(10),moderate
epirubicin,10.0,32.583260995090754,PPARG(20); RB1(20); KDM5A(16); AXIN1(12); CDK4(10),moderate
gemcitabine,10.0,31.51173032752621,PPARG(20); RB1(20); KDM5A(16); AXIN1(12); CDK4(10),moderate
camptothecin,1.11,31.156133466372435,PPARG(20); RB1(20); KDM5A(16); AXIN1(12); CDK4(10),moderate
staurosporine,10.0,30.52895203244469,PPARG(20); RB1(20); KDM5A(16); AXIN1(12); CDK4(10),moderate
GDC-0941,10.0,29.266811536174977,PPARG(20); RB1(20); KDM5A(16); AXIN1(12); CDK4(10),low
tanespimycin,10.0,26.892629612337892,PPARG(20); RB1(20); KDM5A(16); AXIN1(12); CDK4(10),low
SN-38,1.11,25.851921491314517,PPARG(20); RB1(20); KDM5A(16); AXIN1(12); CDK4(10),low
nutlin-3,10.0,25.836453630656308,PPARG(20); RB1(20); KDM5A(16); AXIN1(12); CDK4(10),low
lapatinib,10.0,23.34035285836842,PPARG(20); RB1(20); KDM5A(16); AXIN1(12); CDK4(10),low
navitoclax,10.0,23.230214623206887,PPARG(20); RB1(20); KDM5A(16); AXIN1(12); CDK4(10),low
