drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,CCL2(29); KDM5A(23); EZH2(13); PPARG(10); SMAD3(10),very_high
sirolimus,1.11,99.21973271128596,CCL2(29); KDM5A(23); EZH2(13); PPARG(10); SMAD3(10),very_high
docetaxel,1.11,66.42770383179234,CCL2(29); KDM5A(23); EZH2(13); PPARG(10); SMAD3(10),high
paclitaxel,10.0,65.73193771019574,CCL2(29); KDM5A(23); EZH2(13); PPARG(10); SMAD3(10),high
vinorelbine,10.0,49.572653708582095,CCL2(29); KDM5A(23); EZH2(13); PPARG(10); SMAD3(10),moderate
vinblastine,10.0,48.17929239967781,CCL2(29); KDM5A(23); EZH2(13); PPARG(10); SMAD3(10),moderate
NVP-AUY922,1.11,33.674037558834335,CCL2(29); KDM5A(23); EZH2(13); PPARG(10); SMAD3(10),moderate
NVP-BEZ235,10.0,33.61637742815105,CCL2(29); KDM5A(23); EZH2(13); PPARG(10); SMAD3(10),moderate
lestaurtinib,10.0,32.75530947342271,CCL2(29); KDM5A(23); EZH2(13); PPARG(10); SMAD3(10),moderate
methotrexate,10.0,32.57889883862077,CCL2(29); KDM5A(23); EZH2(13); PPARG(10); SMAD3(10),moderate
epirubicin,10.0,31.187393878547052,CCL2(29); KDM5A(23); EZH2(13); PPARG(10); SMAD3(10),moderate
camptothecin,1.11,30.351257215067957,CCL2(29); KDM5A(23); EZH2(13); PPARG(10); SMAD3(10),moderate
gemcitabine,10.0,29.929110472667492,CCL2(29); KDM5A(23); EZH2(13); PPARG(10); SMAD3(10),low
staurosporine,10.0,28.485558117658062,CCL2(29); KDM5A(23); EZH2(13); PPARG(10); SMAD3(10),low
GDC-0941,10.0,28.153117053892252,CCL2(29); KDM5A(23); EZH2(13); PPARG(10); SMAD3(10),low
SN-38,1.11,25.047045240010053,CCL2(29); KDM5A(23); EZH2(13); PPARG(10); SMAD3(10),low
tanespimycin,10.0,24.95961115004037,CCL2(29); KDM5A(23); EZH2(13); PPARG(10); SMAD3(10),low
nutlin-3,10.0,23.865435161378738,CCL2(29); KDM5A(23); EZH2(13); PPARG(10); SMAD3(10),low
topotecan,1.11,22.077774956448078,CCL2(29); KDM5A(23); EZH2(13); PPARG(10); SMAD3(10),low
lapatinib,10.0,21.856322504301254,CCL2(29); KDM5A(23); EZH2(13); PPARG(10); SMAD3(10),low
